contrast	rank	gene	lsv	junction	condition	n_wells	psi	ci_lo	ci_hi	fragments_junction	fragments_lsv	per_well_psi
ris_low	9	MDH2	chr7:MDH2:s:76048226	7:76048226-76054829:+	CHX dose 50ug/mL	3	0.828	0.768	0.878	164	198	0.851;0.816;0.817
ris_low	9	MDH2	chr7:MDH2:s:76048226	7:76048226-76054829:+	CADM1 1nM	3	0.874	0.841	0.903	411	470	0.804;0.884;0.969
ris_low	9	MDH2	chr7:MDH2:s:76048226	7:76048226-76054829:+	CADM1 100nM	3	0.919	0.891	0.941	453	493	0.880;1.000;0.882
ris_low	10	HOXA10	chr7:HOXA10:t:27172173	7:27172173-27179645:-	Hek control	3	0.389	0.343	0.435	176	453	0.314;0.395;0.482
ris_low	10	HOXA10	chr7:HOXA10:t:27172173	7:27172173-27179645:-	Ris dose 25mM	3	0.553	0.493	0.612	156	282	0.573;0.584;0.500
ris_low	10	HOXA10	chr7:HOXA10:t:27172173	7:27172173-27179645:-	CHX dose 1ug/mL	3	0.343	0.287	0.403	94	274	0.495;0.148;0.440
ris_low	10	HOXA10	chr7:HOXA10:t:27172173	7:27172173-27179645:-	CHX dose 50ug/mL	3	0.635	0.576	0.692	176	277	0.521;0.746;0.648
ris_low	10	HOXA10	chr7:HOXA10:t:27172173	7:27172173-27179645:-	CADM1 1nM	3	0.359	0.299	0.422	89	248	0.340;0.393;0.360
ris_low	10	HOXA10	chr7:HOXA10:t:27172173	7:27172173-27179645:-	CADM1 100nM	3	0.438	0.376	0.501	112	256	0.526;0.416;0.388
cadm1_dose	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	Hek control	3	0.208	0.164	0.257	64	308	0.337;0.156;0.150
cadm1_dose	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	Ris dose 25mM	3	0.254	0.212	0.299	102	402	0.224;0.373;0.187
cadm1_dose	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	CHX dose 1ug/mL	3	0.108	0.079	0.145	40	369	0.162;0.041;0.144
cadm1_dose	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	CHX dose 50ug/mL	3	0.242	0.2	0.288	93	385	0.185;0.417;0.114
cadm1_dose	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	CADM1 1nM	3	0.239	0.199	0.282	103	431	0.254;0.248;0.202
cadm1_dose	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	CADM1 100nM	3	0.531	0.484	0.578	239	450	0.632;0.473;0.430
cadm1_dose	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	Hek control	3	0.611	0.559	0.661	226	370	0.534;0.558;0.769
cadm1_dose	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	Ris dose 25mM	3	0.7	0.641	0.753	191	273	0.713;0.574;0.742
cadm1_dose	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	CHX dose 1ug/mL	3	0.5	0.434	0.566	116	232	0.395;0.456;0.667
cadm1_dose	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	CHX dose 50ug/mL	3	0.777	0.696	0.845	101	130	0.780;0.622;0.971
cadm1_dose	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	CADM1 1nM	3	0.713	0.668	0.756	306	429	0.741;0.729;0.682
cadm1_dose	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	CADM1 100nM	3	0.823	0.775	0.864	246	299	0.829;0.971;0.729
cadm1_dose	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	Hek control	3	0.484	0.437	0.531	220	455	0.454;0.627;0.366
cadm1_dose	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	Ris dose 25mM	3	0.547	0.498	0.595	233	426	0.469;0.644;0.560
cadm1_dose	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	CHX dose 1ug/mL	3	0.382	0.321	0.446	94	246	0.215;0.404;0.526
cadm1_dose	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	CHX dose 50ug/mL	3	0.432	0.377	0.488	140	324	0.583;0.322;0.413
cadm1_dose	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	CADM1 1nM	3	0.625	0.58	0.669	302	483	0.531;0.653;0.656
cadm1_dose	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	CADM1 100nM	3	0.681	0.639	0.722	344	505	0.675;0.733;0.611
cadm1_dose	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	Hek control	3	0.525	0.473	0.577	198	377	0.558;0.581;0.461
cadm1_dose	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	Ris dose 25mM	3	0.465	0.404	0.526	125	269	0.472;0.455;0.459
cadm1_dose	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	CHX dose 1ug/mL	3	0.662	0.59	0.728	129	195	0.623;0.667;0.696
cadm1_dose	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	CHX dose 50ug/mL	3	0.654	0.573	0.729	100	153	0.750;0.636;0.621
cadm1_dose	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	CADM1 1nM	3	0.745	0.689	0.796	202	271	0.643;0.753;0.878
cadm1_dose	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	CADM1 100nM	3	0.716	0.66	0.767	204	285	0.736;0.674;0.700
cadm1_dose	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	Hek control	3	0.286	0.245	0.329	132	462	0.273;0.320;0.256
cadm1_dose	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	Ris dose 25mM	3	0.602	0.551	0.651	234	389	0.537;0.605;0.642
cadm1_dose	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CHX dose 1ug/mL	3	0.441	0.378	0.506	109	247	0.446;0.494;0.396
cadm1_dose	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CHX dose 50ug/mL	3	0.432	0.382	0.484	166	384	0.347;0.580;0.342
cadm1_dose	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CADM1 1nM	3	0.48	0.428	0.532	180	375	0.404;0.558;0.491
cadm1_dose	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CADM1 100nM	3	0.474	0.431	0.517	252	532	0.426;0.461;0.525
cadm1_dose	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	Hek control	3	0.47	0.418	0.523	172	366	0.435;0.536;0.390
cadm1_dose	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	Ris dose 25mM	3	0.482	0.424	0.54	144	299	0.452;0.527;0.479
cadm1_dose	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	CHX dose 1ug/mL	3	0.519	0.444	0.593	96	185	0.700;0.346;0.625
cadm1_dose	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	CHX dose 50ug/mL	3	0.312	0.238	0.395	45	144	0.143;0.319;0.403
cadm1_dose	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	CADM1 1nM	3	0.538	0.485	0.592	189	351	0.677;0.475;0.429
cadm1_dose	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	CADM1 100nM	3	0.65	0.595	0.702	210	323	0.614;0.447;0.857
cadm1_dose	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	Hek control	3	0.612	0.565	0.658	273	446	0.671;0.545;0.632
cadm1_dose	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	Ris dose 25mM	3	0.707	0.645	0.764	169	239	0.674;0.803;0.674
cadm1_dose	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	CHX dose 1ug/mL	3	0.743	0.694	0.788	263	354	0.833;0.753;0.613
cadm1_dose	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	CHX dose 50ug/mL	3	0.629	0.557	0.697	122	194	0.444;0.804;0.631
cadm1_dose	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	CADM1 1nM	3	0.636	0.585	0.685	236	371	0.561;0.695;0.688
cadm1_dose	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	CADM1 100nM	3	0.791	0.748	0.83	318	402	0.746;0.770;0.873
cadm1_dose	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	Hek control	3	0.616	0.565	0.664	237	385	0.654;0.537;0.676
cadm1_dose	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	Ris dose 25mM	3	0.591	0.529	0.651	156	264	0.558;0.658;0.574
cadm1_dose	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	CHX dose 1ug/mL	3	0.608	0.563	0.653	289	475	0.702;0.585;0.537
cadm1_dose	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	CHX dose 50ug/mL	3	0.608	0.559	0.656	250	411	0.516;0.771;0.617
cadm1_dose	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	CADM1 1nM	3	0.633	0.58	0.684	221	349	0.411;0.790;0.643
cadm1_dose	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	CADM1 100nM	3	0.791	0.751	0.828	360	455	0.753;0.801;0.825
cadm1_dose	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	Hek control	3	0.775	0.747	0.801	748	965	0.920;0.686;0.728
cadm1_dose	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	Ris dose 25mM	3	0.905	0.881	0.925	658	727	0.889;0.933;0.901
cadm1_dose	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	CHX dose 1ug/mL	3	0.891	0.863	0.916	517	580	0.876;0.932;0.836
cadm1_dose	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	CHX dose 50ug/mL	3	0.861	0.822	0.895	311	361	0.822;0.908;0.877
cadm1_dose	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	CADM1 1nM	3	0.88	0.856	0.901	749	851	0.861;0.883;0.896
cadm1_dose	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	CADM1 100nM	3	0.949	0.932	0.962	813	857	0.953;0.975;0.926
cadm1_dose	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	Hek control	3	0.26	0.218	0.305	108	416	0.339;0.158;0.296
cadm1_dose	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	Ris dose 25mM	3	0.361	0.312	0.413	133	368	0.286;0.288;0.437
cadm1_dose	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	CHX dose 1ug/mL	3	0.347	0.284	0.413	77	222	0.565;0.284;0.231
cadm1_dose	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	CHX dose 50ug/mL	3	0.398	0.344	0.453	130	327	0.240;0.431;0.500
cadm1_dose	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	CADM1 1nM	3	0.504	0.458	0.55	241	478	0.579;0.465;0.465
cadm1_dose	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	CADM1 100nM	3	0.424	0.378	0.472	188	443	0.425;0.422;0.427
cadm1_high	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	Hek control	3	0.208	0.164	0.257	64	308	0.337;0.156;0.150
cadm1_high	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	Ris dose 25mM	3	0.254	0.212	0.299	102	402	0.224;0.373;0.187
cadm1_high	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	CHX dose 1ug/mL	3	0.108	0.079	0.145	40	369	0.162;0.041;0.144
cadm1_high	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	CHX dose 50ug/mL	3	0.242	0.2	0.288	93	385	0.185;0.417;0.114
cadm1_high	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	CADM1 1nM	3	0.239	0.199	0.282	103	431	0.254;0.248;0.202
cadm1_high	1	TNRC6A	chr16:TNRC6A:s:24729846	16:24729846-24750725:+	CADM1 100nM	3	0.531	0.484	0.578	239	450	0.632;0.473;0.430
cadm1_high	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	Hek control	3	0.611	0.559	0.661	226	370	0.534;0.558;0.769
cadm1_high	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	Ris dose 25mM	3	0.7	0.641	0.753	191	273	0.713;0.574;0.742
cadm1_high	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	CHX dose 1ug/mL	3	0.5	0.434	0.566	116	232	0.395;0.456;0.667
cadm1_high	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	CHX dose 50ug/mL	3	0.777	0.696	0.845	101	130	0.780;0.622;0.971
cadm1_high	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	CADM1 1nM	3	0.713	0.668	0.756	306	429	0.741;0.729;0.682
cadm1_high	2	POLR3GL	chr1:POLR3GL:s:145975436	1:145975436-145977083:+	CADM1 100nM	3	0.823	0.775	0.864	246	299	0.829;0.971;0.729
cadm1_high	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	Hek control	3	0.484	0.437	0.531	220	455	0.454;0.627;0.366
cadm1_high	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	Ris dose 25mM	3	0.547	0.498	0.595	233	426	0.469;0.644;0.560
cadm1_high	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	CHX dose 1ug/mL	3	0.382	0.321	0.446	94	246	0.215;0.404;0.526
cadm1_high	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	CHX dose 50ug/mL	3	0.432	0.377	0.488	140	324	0.583;0.322;0.413
cadm1_high	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	CADM1 1nM	3	0.625	0.58	0.669	302	483	0.531;0.653;0.656
cadm1_high	3	MECP2	chrX:MECP2:s:154097603	X:154092307-154097603:-	CADM1 100nM	3	0.681	0.639	0.722	344	505	0.675;0.733;0.611
cadm1_high	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	Hek control	3	0.525	0.473	0.577	198	377	0.558;0.581;0.461
cadm1_high	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	Ris dose 25mM	3	0.465	0.404	0.526	125	269	0.472;0.455;0.459
cadm1_high	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	CHX dose 1ug/mL	3	0.662	0.59	0.728	129	195	0.623;0.667;0.696
cadm1_high	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	CHX dose 50ug/mL	3	0.654	0.573	0.729	100	153	0.750;0.636;0.621
cadm1_high	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	CADM1 1nM	3	0.745	0.689	0.796	202	271	0.643;0.753;0.878
cadm1_high	4	MRPL28	chr16:MRPL28:t:370225	16:370225-370498:-	CADM1 100nM	3	0.716	0.66	0.767	204	285	0.736;0.674;0.700
cadm1_high	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	Hek control	3	0.286	0.245	0.329	132	462	0.273;0.320;0.256
cadm1_high	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	Ris dose 25mM	3	0.602	0.551	0.651	234	389	0.537;0.605;0.642
cadm1_high	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CHX dose 1ug/mL	3	0.441	0.378	0.506	109	247	0.446;0.494;0.396
cadm1_high	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CHX dose 50ug/mL	3	0.432	0.382	0.484	166	384	0.347;0.580;0.342
cadm1_high	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CADM1 1nM	3	0.48	0.428	0.532	180	375	0.404;0.558;0.491
cadm1_high	5	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CADM1 100nM	3	0.474	0.431	0.517	252	532	0.426;0.461;0.525
cadm1_high	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	Hek control	3	0.47	0.418	0.523	172	366	0.435;0.536;0.390
cadm1_high	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	Ris dose 25mM	3	0.482	0.424	0.54	144	299	0.452;0.527;0.479
cadm1_high	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	CHX dose 1ug/mL	3	0.519	0.444	0.593	96	185	0.700;0.346;0.625
cadm1_high	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	CHX dose 50ug/mL	3	0.312	0.238	0.395	45	144	0.143;0.319;0.403
cadm1_high	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	CADM1 1nM	3	0.538	0.485	0.592	189	351	0.677;0.475;0.429
cadm1_high	6	UQCC5	chr3:UQCC5:t:52540423	3:52536906-52540423:+	CADM1 100nM	3	0.65	0.595	0.702	210	323	0.614;0.447;0.857
cadm1_high	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	Hek control	3	0.612	0.565	0.658	273	446	0.671;0.545;0.632
cadm1_high	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	Ris dose 25mM	3	0.707	0.645	0.764	169	239	0.674;0.803;0.674
cadm1_high	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	CHX dose 1ug/mL	3	0.743	0.694	0.788	263	354	0.833;0.753;0.613
cadm1_high	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	CHX dose 50ug/mL	3	0.629	0.557	0.697	122	194	0.444;0.804;0.631
cadm1_high	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	CADM1 1nM	3	0.636	0.585	0.685	236	371	0.561;0.695;0.688
cadm1_high	7	CNBP	chr3:CNBP:t:129171538	3:129171538-129171654:-	CADM1 100nM	3	0.791	0.748	0.83	318	402	0.746;0.770;0.873
cadm1_high	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	Hek control	3	0.616	0.565	0.664	237	385	0.654;0.537;0.676
cadm1_high	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	Ris dose 25mM	3	0.591	0.529	0.651	156	264	0.558;0.658;0.574
cadm1_high	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	CHX dose 1ug/mL	3	0.608	0.563	0.653	289	475	0.702;0.585;0.537
cadm1_high	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	CHX dose 50ug/mL	3	0.608	0.559	0.656	250	411	0.516;0.771;0.617
cadm1_high	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	CADM1 1nM	3	0.633	0.58	0.684	221	349	0.411;0.790;0.643
cadm1_high	8	NASP	chr1:NASP:s:45606591	1:45606591-45613168:+	CADM1 100nM	3	0.791	0.751	0.828	360	455	0.753;0.801;0.825
cadm1_high	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	Hek control	3	0.775	0.747	0.801	748	965	0.920;0.686;0.728
cadm1_high	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	Ris dose 25mM	3	0.905	0.881	0.925	658	727	0.889;0.933;0.901
cadm1_high	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	CHX dose 1ug/mL	3	0.891	0.863	0.916	517	580	0.876;0.932;0.836
cadm1_high	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	CHX dose 50ug/mL	3	0.861	0.822	0.895	311	361	0.822;0.908;0.877
cadm1_high	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	CADM1 1nM	3	0.88	0.856	0.901	749	851	0.861;0.883;0.896
cadm1_high	9	RPL22	chr1:RPL22:t:6197756	1:6197756-6199561:-	CADM1 100nM	3	0.949	0.932	0.962	813	857	0.953;0.975;0.926
cadm1_high	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	Hek control	3	0.26	0.218	0.305	108	416	0.339;0.158;0.296
cadm1_high	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	Ris dose 25mM	3	0.361	0.312	0.413	133	368	0.286;0.288;0.437
cadm1_high	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	CHX dose 1ug/mL	3	0.347	0.284	0.413	77	222	0.565;0.284;0.231
cadm1_high	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	CHX dose 50ug/mL	3	0.398	0.344	0.453	130	327	0.240;0.431;0.500
cadm1_high	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	CADM1 1nM	3	0.504	0.458	0.55	241	478	0.579;0.465;0.465
cadm1_high	10	SF1	chr11:SF1:s:64766899	11:64766155-64766899:-	CADM1 100nM	3	0.424	0.378	0.472	188	443	0.425;0.422;0.427
