contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit	psi_Hek_control_1	psi_Hek_control_2	psi_Hek_control_3	psi_CADM1_100nM-1	psi_CADM1_100nM-2	psi_CADM1_100nM-3	n_Hek_control_1	n_Hek_control_2	n_Hek_control_3	n_CADM1_100nM-1	n_CADM1_100nM-2	n_CADM1_100nM-3
cadm1_high		chr20:FRG1BP:t:30379584|20:30377721-30379584:+	FRG1BP	chr20:FRG1BP:t:30379584	t	30379584	20:30377721-30379584:+	20	30377721	30379584	+	119.0	0.692		0.772	0.081	0.081		welch	0.2625643811231048	0.9655019792943904	0	0	0.629	0.653	0.762	0.841	0.867	0.654	116	118	168	69	113	130
cadm1_high		chr5:MACROH2A1:s:135360496|5:135353045-135360496:-	MACROH2A1	chr5:MACROH2A1:s:135360496	s	135360496	5:135353045-135360496:-	5	135353045	135360496	-	163.3	0.844		0.924	0.08	0.075		welch	0.2304109664557961	0.9655019792943904	0	0	0.698	0.897	0.861	0.918	0.96	0.885	106	223	216	171	151	113
cadm1_high		chr1:ENSG00000233461:t:231522637|1:231522637-231527337:-	ENSG00000233461	chr1:ENSG00000233461:t:231522637	t	231522637	1:231522637-231527337:-	1	231522637	231527337	-	166.5	0.524		0.604	0.08	0.09		welch	0.4964329993334968	0.9655019792943904	0	0	0.612	0.523	0.437	0.706	0.45	0.622	129	216	126	197	151	180
cadm1_high		chr10:WAC:t:28533997|10:28533620-28533997:+	WAC	chr10:WAC:t:28533997	t	28533997	10:28533620-28533997:+	10	28533620	28533997	+	106.5	0.632		0.713	0.08	0.053		welch	0.6060153931967149	0.9695427997180214	0	0	0.567	0.738	0.549	0.495	0.709	0.858	67	122	102	97	103	148
cadm1_high		chr6:TMEM14B:s:10749698|6:10749698-10751132:+	TMEM14B	chr6:TMEM14B:s:10749698	s	10749698	6:10749698-10751132:+	6	10749698	10751132	+	102.3	0.872		0.951	0.079	0.03		welch	0.3767264843854864	0.9655019792943904	0	0	0.916	0.961	0.769	0.89	1.0	0.96	95	103	130	91	94	101
cadm1_high		chr5:GRK6:s:177441053|5:177441053-177441734:+	GRK6	chr5:GRK6:s:177441053	s	177441053	5:177441053-177441734:+	5	177441053	177441734	+	108.7	0.355		0.434	0.079	0.029		welch	0.6514613340101912	0.9695427997180214	0	0	0.271	0.442	0.348	0.452	0.642	0.184	96	104	155	115	95	87
cadm1_high		chr2:MRPL33:t:27779432|2:27772692-27779432:+	MRPL33	chr2:MRPL33:t:27779432	t	27779432	2:27772692-27779432:+	2	27772692	27779432	+	128.2	0.501		0.579	0.078	0.071		welch	0.4171692877824431	0.9655019792943904	0	0	0.301	0.531	0.627	0.638	0.525	0.594	103	128	134	116	160	128
cadm1_high		chr11:TRPT1:s:64224284|11:64223967-64224284:-	TRPT1	chr11:TRPT1:s:64224284	s	64224284	11:64223967-64224284:-	11	64223967	64224284	-	183.5	0.17		0.247	0.077	0.078		welch	0.3619645871652545	0.9655019792943904	0	0	0.16	0.22	0.108	0.127	0.245	0.335	212	264	176	110	184	155
cadm1_high		chrX:FMR1:s:147943326|X:147943326-147944943:+	FMR1	chrX:FMR1:s:147943326	s	147943326	X:147943326-147944943:+	X	147943326	147944943	+	246.5	0.243		0.32	0.077	0.048		welch	0.45515422881063833	0.9655019792943904	0	0	0.188	0.198	0.397	0.255	0.347	0.378	452	258	237	196	225	111
cadm1_high		chr16:ATP2A1-AS1:s:28879541|16:28879107-28879541:-	ATP2A1-AS1	chr16:ATP2A1-AS1:s:28879541	s	28879541	16:28879107-28879541:-	16	28879107	28879541	-	252.0	0.264		0.34	0.076	0.067		welch	0.21935743304271205	0.9655019792943904	0	0	0.211	0.178	0.351	0.333	0.358	0.327	247	230	376	216	229	214
cadm1_high		chr12:TARBP2:s:53504469|12:53504469-53504697:+	TARBP2	chr12:TARBP2:s:53504469	s	53504469	12:53504469-53504697:+	12	53504469	53504697	+	133.8	0.869		0.944	0.075	0.074		welch	0.3940322696047673	0.9655019792943904	0	0	0.965	0.783	0.894	0.87	0.963	1.0	115	180	170	115	108	115
cadm1_high		chr7:SSBP1:t:141739123|7:141738575-141739123:+	SSBP1	chr7:SSBP1:t:141739123	t	141739123	7:141738575-141739123:+	7	141738575	141739123	+	118.8	0.187		0.262	0.075	0.047		welch	0.29747231049949957	0.9655019792943904	0	0	0.103	0.239	0.168	0.219	0.182	0.405	78	188	161	114	88	84
cadm1_high		chr9:SURF2:t:133357710|9:133357182-133357710:+	SURF2	chr9:SURF2:t:133357710	t	133357710	9:133357182-133357710:+	9	133357182	133357710	+	152.7	0.099		0.174	0.075	0.038		welch	0.4475106291991364	0.9655019792943904	0	0	0.075	0.12	0.09	0.074	0.106	0.357	146	217	133	121	170	129
cadm1_high		chr12:SFSWAP:s:131756644|12:131756644-131764455:+	SFSWAP	chr12:SFSWAP:s:131756644	s	131756644	12:131756644-131764455:+	12	131756644	131764455	+	133.0	0.621		0.695	0.075	0.036		welch	0.599329630158035	0.9695427997180214	0	0	0.596	0.673	0.592	0.849	0.512	0.683	151	171	184	106	82	104
cadm1_high		chr16:METTL26:t:634797|16:634797-634888:-	METTL26	chr16:METTL26:t:634797	t	634797	16:634797-634888:-	16	634797	634888	-	416.7	0.47		0.544	0.074	0.06		welch	0.4590154339204439	0.9655019792943904	0	0	0.471	0.416	0.517	0.463	0.464	0.676	291	464	518	361	403	463
cadm1_high		chrX:NAA10:t:153932584|X:153932584-153933960:-	NAA10	chrX:NAA10:t:153932584	t	153932584	X:153932584-153933960:-	X	153932584	153933960	-	254.2	0.389		0.463	0.074	0.112		welch	0.3302347472159845	0.9655019792943904	0	0	0.415	0.405	0.341	0.581	0.4	0.408	195	301	208	272	250	299
cadm1_high		chr21:PRMT2:s:46635763|21:46635763-46636895:+	PRMT2	chr21:PRMT2:s:46635763	s	46635763	21:46635763-46636895:+	21	46635763	46636895	+	104.0	0.45		0.522	0.072	0.08		welch	0.29602944114542507	0.9655019792943904	0	0	0.378	0.435	0.503	0.459	0.474	0.652	90	92	149	109	95	89
cadm1_high		chr9:TMEM141:s:136791424|9:136791424-136791946:+	TMEM141	chr9:TMEM141:s:136791424	s	136791424	9:136791424-136791946:+	9	136791424	136791946	+	110.8	0.185		0.256	0.071	0.068		welch	0.5087080715638852	0.9655019792943904	0	0	0.253	0.07	0.243	0.229	0.17	0.333	75	114	136	96	100	144
cadm1_high		chr9:ANKRD18B:s:33541227|9:33541227-33543181:+	ANKRD18B	chr9:ANKRD18B:s:33541227	s	33541227	9:33541227-33543181:+	9	33541227	33543181	+	126.8	0.223		0.294	0.071	0.055		welch	0.6089598961554692	0.9695427997180214	0	0	0.385	0.134	0.19	0.327	0.23	0.293	65	97	58	266	135	140
cadm1_high		chr16:VKORC1:s:31094556|16:31091342-31094556:-	VKORC1	chr16:VKORC1:s:31094556	s	31094556	16:31091342-31094556:-	16	31091342	31094556	-	159.5	0.345		0.416	0.07	0.031		welch	0.5705602909724687	0.9695427997180214	0	0	0.37	0.219	0.463	0.286	0.535	0.419	162	183	162	161	172	117
cadm1_high		chr6:ACAT2:s:159763053|6:159763053-159767004:+	ACAT2	chr6:ACAT2:s:159763053	s	159763053	6:159763053-159767004:+	6	159763053	159767004	+	103.8	0.933		1.0	0.067			welch	0.328682886657381	0.9655019792943904	0	0	1.0	0.75	0.955	1.0	1.0	1.0	71	44	154	119	101	134
cadm1_high		chr7:FIS1:s:101244959|7:101244139-101244959:-	FIS1	chr7:FIS1:s:101244959	s	101244959	7:101244139-101244959:-	7	101244139	101244959	-	239.8	0.829		0.895	0.067	0.055		welch	0.2456359889304034	0.9655019792943904	0	0	0.842	0.705	0.876	0.832	0.937	0.913	292	176	378	190	207	196
cadm1_high		chr12:CBX5:t:54257692|12:54257692-54259508:-	CBX5	chr12:CBX5:t:54257692	t	54257692	12:54257692-54259508:-	12	54257692	54259508	-	160.7	0.185		0.252	0.067	0.047		welch	0.3690602764778642	0.9655019792943904	0	0	0.154	0.183	0.21	0.265	0.141	0.361	123	213	167	151	163	147
cadm1_high		chr11:ANAPC15:s:72112649|11:72111496-72112649:-	ANAPC15	chr11:ANAPC15:s:72112649	s	72112649	11:72111496-72112649:-	11	72111496	72112649	-	139.2	0.753		0.818	0.065	0.028		welch	0.3522594232253526	0.9655019792943904	0	0	0.619	0.789	0.819	0.859	0.807	0.787	113	166	138	149	119	150
cadm1_high		chr5:RPS14:t:150447735|5:150447735-150449702:-	RPS14	chr5:RPS14:t:150447735	t	150447735	5:150447735-150449702:-	5	150447735	150449702	-	1383.0	0.386		0.452	0.065	0.072		welch	0.4043842003009228	0.9655019792943904	0	0	0.389	0.378	0.391	0.4	0.379	0.59	1275	1470	1792	1204	1385	1172
cadm1_high		chr19:CARM1:t:10921614|19:10921443-10921614:+	CARM1	chr19:CARM1:t:10921614	t	10921614	19:10921443-10921614:+	19	10921443	10921614	+	103.2	0.21		0.275	0.065	0.081		welch	0.5998121764110369	0.9695427997180214	0	0	0.282	0.18	0.173	0.456	0.253	0.115	110	100	133	90	99	87
cadm1_high		chr17:CEP131:s:81192317|17:81191350-81192317:-	CEP131	chr17:CEP131:s:81192317	s	81192317	17:81191350-81192317:-	17	81191350	81192317	-	114.8	0.198		0.261	0.064	0.103		welch	0.3724369365529588	0.9655019792943904	0	0	0.11	0.214	0.241	0.237	0.343	0.176	82	131	116	135	134	91
cadm1_high		chr11:AAMDC:t:77842478|11:77821241-77842478:+	AAMDC	chr11:AAMDC:t:77842478	t	77842478	11:77821241-77842478:+	11	77821241	77842478	+	151.7	0.794		0.857	0.064	0.056		welch	0.604860214681457	0.9695427997180214	0	0	0.673	0.878	0.8	0.9	0.934	0.684	101	131	180	259	122	117
cadm1_high		chr10:NOLC1:t:102159432|10:102159308-102159432:+	NOLC1	chr10:NOLC1:t:102159432	t	102159432	10:102159308-102159432:+	10	102159308	102159432	+	154.5	0.755		0.818	0.063	0.083		welch	0.613662232341305	0.9695427997180214	0	0	0.888	0.617	0.826	0.772	0.86	0.848	98	154	115	246	150	164
cadm1_high		chr16:ATXN2L:t:28836727|16:28836485-28836727:+	ATXN2L	chr16:ATXN2L:t:28836727	t	28836727	16:28836485-28836727:+	16	28836485	28836727	+	108.5	0.125		0.188	0.063	0.008		welch	0.7874459562367606	0.9695427997180214	0	0	0.141	0.088	0.139	0.277	0.0	0.167	85	91	151	141	51	132
cadm1_high		chr5:RPL26L1:t:172959864|5:172959468-172959864:+	RPL26L1	chr5:RPL26L1:t:172959864	t	172959864	5:172959468-172959864:+	5	172959468	172959864	+	162.7	0.463		0.525	0.062	0.001		welch	0.4196518567103528	0.9655019792943904	0	0	0.4	0.368	0.595	0.5	0.532	0.546	130	155	173	172	216	130
cadm1_high		chr7:ATP5MF:t:99460193|7:99460193-99466110:-	ATP5MF	chr7:ATP5MF:t:99460193	t	99460193	7:99460193-99466110:-	7	99460193	99466110	-	321.3	0.681		0.742	0.062	0.091		welch	0.44894540941950506	0.9655019792943904	0	0	0.699	0.666	0.678	0.651	0.705	0.878	296	287	453	364	224	304
cadm1_high		chr19:DNM2:s:10805967|19:10805967-10812263:+	DNM2	chr19:DNM2:s:10805967	s	10805967	19:10805967-10812263:+	19	10805967	10812263	+	114.3	0.814		0.876	0.062	0.071		welch	0.6358034664232087	0.9695427997180214	0	0	0.989	0.725	0.747	0.885	0.971	0.766	90	102	99	131	136	128
cadm1_high		chr16:GABARAPL2:s:75566907|16:75566907-75577278:+	GABARAPL2	chr16:GABARAPL2:s:75566907	s	75566907	16:75566907-75577278:+	16	75566907	75577278	+	117.7	0.05		0.111	0.061	0.049		welch	0.408269083426311	0.9655019792943904	0	0	0.071	0.044	0.047	0.097	0.24	0.023	56	91	171	154	104	130
cadm1_high		chr19:RAD23A:s:12949159|19:12949159-12949274:+	RAD23A	chr19:RAD23A:s:12949159	s	12949159	19:12949159-12949274:+	19	12949159	12949274	+	164.5	0.601		0.662	0.061	0.041		welch	0.5068987444152344	0.9655019792943904	0	0	0.392	0.686	0.595	0.777	0.602	0.54	79	210	237	206	118	137
cadm1_high		chr12:HNRNPA1:t:54283826|12:54281896-54283826:+	HNRNPA1	chr12:HNRNPA1:t:54283826	t	54283826	12:54281896-54283826:+	12	54281896	54283826	+	105.8	0.261		0.322	0.061	0.055		welch	0.6702161444958966	0.9695427997180214	0	0	0.367	0.163	0.271	0.435	0.142	0.372	60	80	144	108	106	137
cadm1_high		chr15:KNSTRN:s:40383322|15:40383322-40386361:+	KNSTRN	chr15:KNSTRN:s:40383322	s	40383322	15:40383322-40386361:+	15	40383322	40386361	+	105.3	0.905		0.965	0.06			welch	0.23552007281614423	0.9655019792943904	0	0	0.809	0.986	0.826	0.981	0.991	0.929	68	148	69	105	115	127
cadm1_high		chr19:PTBP1:s:805187|19:805187-806407:+	PTBP1	chr19:PTBP1:s:805187	s	805187	19:805187-806407:+	19	805187	806407	+	248.3	0.523		0.583	0.06	-0.017		welch	0.3783754885083501	0.9655019792943904	0	0	0.485	0.522	0.562	0.585	0.49	0.703	264	297	276	207	251	195
cadm1_high		chr6:BAG6:s:31640198|6:31639226-31640198:-	BAG6	chr6:BAG6:s:31640198	s	31640198	6:31639226-31640198:-	6	31639226	31640198	-	224.5	0.498		0.558	0.06	0.041		welch	0.4453801533779473	0.9655019792943904	0	0	0.472	0.594	0.43	0.486	0.657	0.533	142	244	291	245	230	195
cadm1_high		chr20:NOP56:t:2656773|20:2656549-2656773:+	NOP56	chr20:NOP56:t:2656773	t	2656773	20:2656549-2656773:+	20	2656549	2656773	+	180.2	0.787		0.846	0.059	0.049		welch	0.36590595947714694	0.9655019792943904	0	0	0.844	0.825	0.707	0.784	0.839	0.959	167	137	188	250	193	146
cadm1_high		chr9:ENTR1:t:136407938|9:136407938-136410089:-	ENTR1	chr9:ENTR1:t:136407938	t	136407938	9:136407938-136410089:-	9	136407938	136410089	-	103.3	0.64		0.698	0.059	0.114		welch	0.49401183657701014	0.9655019792943904	0	0	0.747	0.434	0.642	0.747	0.643	0.667	99	53	120	162	84	102
cadm1_high		chr4:MRPS18C:s:83456958|4:83456958-83458345:+	MRPS18C	chr4:MRPS18C:s:83456958	s	83456958	4:83456958-83458345:+	4	83456958	83458345	+	138.0	0.358		0.416	0.058	0.023		welch	0.8460877866693755	0.9695427997180214	0	0	0.443	0.352	0.282	0.232	0.581	0.336	106	182	103	112	191	134
cadm1_high		chr16:HMOX2:t:4505483|16:4476487-4505483:+	HMOX2	chr16:HMOX2:t:4505483	t	4505483	16:4476487-4505483:+	16	4476487	4505483	+	110.0	0.795		0.851	0.056	-0.011		welch	0.6712147336726362	0.9695427997180214	0	0	0.647	0.856	0.903	0.885	0.931	0.728	119	125	93	104	116	103
cadm1_high		chr19:PRPF31:s:54115797|19:54115797-54118270:+	PRPF31	chr19:PRPF31:s:54115797	s	54115797	19:54115797-54118270:+	19	54115797	54118270	+	139.2	0.703		0.759	0.056	0.035		welch	0.9975788728692283	0.9975788728692284	0	0	0.882	0.672	0.633	0.82	0.577	0.791	85	131	158	211	97	153
cadm1_high		chr20:MCTS2:s:31561736|20:31561736-31569119:+	MCTS2	chr20:MCTS2:s:31561736	s	31561736	20:31561736-31569119:+	20	31561736	31569119	+	105.5	0.124		0.179	0.055	0.012		welch	0.4458722998908472	0.9655019792943904	0	0	0.041	0.233	0.078	0.21	0.096	0.233	74	120	154	105	94	86
cadm1_high		chr1:CHTOP:s:153638448|1:153638448-153642245:+	CHTOP	chr1:CHTOP:s:153638448	s	153638448	1:153638448-153642245:+	1	153638448	153642245	+	186.7	0.435		0.488	0.053	-0.006		welch	0.47373714261146016	0.9655019792943904	0	0	0.415	0.389	0.477	0.367	0.645	0.482	164	175	277	218	172	114
cadm1_high		chr17:SAT2:t:7627414|17:7627414-7627569:-	SAT2	chr17:SAT2:t:7627414	t	7627414	17:7627414-7627569:-	17	7627414	7627569	-	117.3	0.224		0.277	0.053	0.003		welch	0.40079196807905143	0.9655019792943904	0	0	0.186	0.203	0.269	0.217	0.232	0.438	86	123	130	138	138	89
cadm1_high		chr19:ILF3:t:10670515|19:10654487-10670515:+	ILF3	chr19:ILF3:t:10670515	t	10670515	19:10654487-10670515:+	19	10654487	10670515	+	132.5	0.913		0.966	0.052			welch	0.33354414392690335	0.9655019792943904	0	0	0.795	0.881	1.0	1.0	0.977	0.925	73	176	167	146	86	147
cadm1_high		chr22:C22orf39:s:19447377|22:19441694-19447377:-	C22orf39	chr22:C22orf39:s:19447377	s	19447377	22:19441694-19447377:-	22	19441694	19447377	-	105.0	0.902		0.952	0.05			welch	0.7297854039209715	0.9695427997180214	0	0	1.0	0.961	0.797	0.875	0.965	1.0	83	127	148	72	113	87
cadm1_high		chr21:SLX9:s:44967181|21:44967181-44973196:+	SLX9	chr21:SLX9:s:44967181	s	44967181	21:44967181-44973196:+	21	44967181	44973196	+	134.2	0.763		0.812	0.049	0.066		welch	0.7665084036957495	0.9695427997180214	0	0	0.849	0.593	0.879	0.893	0.756	0.771	86	145	149	159	135	131
cadm1_high		chr15:MRPS11:s:88467782|15:88467782-88467907:+	MRPS11	chr15:MRPS11:s:88467782	s	88467782	15:88467782-88467907:+	15	88467782	88467907	+	123.0	0.65		0.698	0.048	0.017		welch	0.6690556970676954	0.9695427997180214	0	0	0.568	0.562	0.822	0.701	0.628	0.756	125	169	146	134	78	86
cadm1_high		chr6:GMNN:t:24777221|6:24775112-24777221:+	GMNN	chr6:GMNN:t:24777221	t	24777221	6:24775112-24777221:+	6	24775112	24777221	+	149.7	0.493		0.54	0.047	0.14		welch	0.5018917573052969	0.9655019792943904	0	0	0.364	0.517	0.556	0.469	0.655	0.497	107	201	142	143	148	157
cadm1_high		chr19:DMKN:s:35510183|19:35505986-35510183:-	DMKN	chr19:DMKN:s:35510183	s	35510183	19:35505986-35510183:-	19	35505986	35510183	-	387.3	0.562		0.609	0.047	0.063		welch	0.5706141785368288	0.9695427997180214	0	0	0.515	0.493	0.666	0.512	0.716	0.595	332	475	470	371	380	296
cadm1_high		chr19:DNM2:t:10798485|19:10797518-10798485:+	DNM2	chr19:DNM2:t:10798485	t	10798485	19:10797518-10798485:+	19	10797518	10798485	+	100.5	0.564		0.61	0.046	0.071		welch	0.6597350003901273	0.9695427997180214	0	0	0.492	0.719	0.505	0.596	0.589	0.645	118	89	91	156	56	93
cadm1_high		chr19:PRKCSH:t:11447692|19:11447618-11447692:+	PRKCSH	chr19:PRKCSH:t:11447692	t	11447692	19:11447618-11447692:+	19	11447618	11447692	+	123.2	0.4		0.446	0.045	0.065		welch	0.651682948932045	0.9695427997180214	0	0	0.333	0.504	0.365	0.385	0.354	0.604	84	123	200	91	130	111
cadm1_high		chr14:MRPL52:s:22829940|14:22829940-22830049:+	MRPL52	chr14:MRPL52:s:22829940	s	22829940	14:22829940-22830049:+	14	22829940	22830049	+	379.3	0.73		0.775	0.044	0.001		welch	0.7781199571342017	0.9695427997180214	0	0	0.749	0.76	0.693	0.615	0.803	0.857	387	359	492	278	340	420
cadm1_high		chr19:HNRNPUL1:t:41268222|19:41264692-41268222:+	HNRNPUL1	chr19:HNRNPUL1:t:41268222	t	41268222	19:41264692-41268222:+	19	41264692	41268222	+	135.8	0.185		0.229	0.044	0.017		welch	0.636347931056656	0.9695427997180214	0	0	0.216	0.243	0.077	0.367	0.108	0.203	125	202	143	109	93	143
cadm1_high		chr10:RPP38:t:15103304|10:15097766-15103304:+	RPP38	chr10:RPP38:t:15103304	t	15103304	10:15097766-15103304:+	10	15097766	15103304	+	122.8	0.196		0.24	0.043	0.064		welch	0.5207452804990578	0.9655019792943904	0	0	0.228	0.158	0.21	0.238	0.423	0.133	127	152	124	143	71	120
cadm1_high		chr1:HNRNPR:s:23344210|1:23338608-23344210:-	HNRNPR	chr1:HNRNPR:s:23344210	s	23344210	1:23338608-23344210:-	1	23338608	23344210	-	160.3	0.658		0.702	0.043	0.05		welch	0.6395477610349405	0.9695427997180214	0	0	0.797	0.606	0.608	0.657	0.711	0.75	118	160	158	216	142	168
cadm1_high		chr10:CUTC:t:99736245|10:99732356-99736245:+	CUTC	chr10:CUTC:t:99736245	t	99736245	10:99732356-99736245:+	10	99732356	99736245	+	131.8	0.067		0.108	0.042	-0.016		welch	0.5952808887662283	0.9695427997180214	0	0	0.036	0.065	0.089	0.275	0.071	0.0	83	169	123	131	126	159
cadm1_high		chr11:AAMDC:s:77821241|11:77821241-77842478:+	AAMDC	chr11:AAMDC:s:77821241	s	77821241	11:77821241-77842478:+	11	77821241	77842478	+	144.5	0.847		0.888	0.041	0.035		welch	0.8127950664384257	0.9695427997180214	0	0	0.764	0.935	0.828	0.94	0.942	0.714	89	123	174	248	121	112
cadm1_high		chr12:TDG:s:103966060|12:103966060-103979830:+	TDG	chr12:TDG:s:103966060	s	103966060	12:103966060-103979830:+	12	103966060	103979830	+	114.3	0.231		0.271	0.041	0.122		welch	0.641176841703011	0.9695427997180214	0	0	0.141	0.316	0.196	0.295	0.376	0.121	85	133	107	129	125	107
cadm1_high		chr1:MICOS10-NBL1:t:19623473|1:19597109-19623473:+	MICOS10-NBL1	chr1:MICOS10-NBL1:t:19623473	t	19623473	1:19597109-19623473:+	1	19597109	19623473	+	109.5	0.097		0.138	0.041	0.056		welch	0.6636014041837481	0.9695427997180214	0	0	0.129	0.013	0.16	0.032	0.305	0.1	70	149	162	94	82	100
cadm1_high		chr16:KARS1:s:75647577|16:75644462-75647577:-	KARS1	chr16:KARS1:s:75647577	s	75647577	16:75644462-75647577:-	16	75644462	75647577	-	120.0	0.126		0.167	0.04	0.009		welch	0.6794540097498801	0.9695427997180214	0	0	0.153	0.098	0.155	0.054	0.164	0.287	85	184	103	112	128	108
cadm1_high		chr3:DNAJC19:s:180988022|3:180985996-180988022:-	DNAJC19	chr3:DNAJC19:s:180988022	s	180988022	3:180985996-180988022:-	3	180985996	180988022	-	158.7	0.024		0.063	0.039	0.059		welch	0.44057396873527804	0.9655019792943904	0	0	0.019	0.0	0.046	0.021	0.016	0.244	156	168	217	144	185	82
cadm1_high		chr1:SCNM1:t:151166470|1:151166252-151166470:+	SCNM1	chr1:SCNM1:t:151166470	t	151166470	1:151166252-151166470:+	1	151166252	151166470	+	124.7	0.069		0.108	0.039	0.042		welch	0.5172197565794275	0.9655019792943904	0	0	0.028	0.036	0.118	0.0	0.122	0.206	108	139	187	102	115	97
cadm1_high		chr16:PRMT7:t:68357053|16:68355883-68357053:+	PRMT7	chr16:PRMT7:t:68357053	t	68357053	16:68355883-68357053:+	16	68355883	68357053	+	104.0	0.016		0.056	0.039			welch	0.4874086774166964	0.9655019792943904	0	0	0.0	0.035	0.0	0.0	0.0	0.226	85	173	114	83	107	62
cadm1_high		chr8:PUF60:t:143821913|8:143821913-143829279:-	PUF60	chr8:PUF60:t:143821913	t	143821913	8:143821913-143829279:-	8	143821913	143829279	-	220.2	0.238		0.277	0.039	0.007		welch	0.4619967530343426	0.9655019792943904	0	0	0.114	0.222	0.326	0.226	0.299	0.306	140	338	258	199	167	219
cadm1_high		chr20:NOP56:s:2656214|20:2656214-2656773:+	NOP56	chr20:NOP56:s:2656214	s	2656214	20:2656214-2656773:+	20	2656214	2656773	+	121.0	0.193		0.232	0.039	0.026		welch	0.8469689943387947	0.9695427997180214	0	0	0.205	0.088	0.257	0.312	0.175	0.111	127	102	144	173	126	54
cadm1_high		chr1:FAAP20:t:2189781|1:2189781-2192844:-	FAAP20	chr1:FAAP20:t:2189781	t	2189781	1:2189781-2192844:-	1	2189781	2192844	-	107.0	0.108		0.148	0.039	0.078		welch	0.9603333063277248	0.982841336109294	0	0	0.29	0.12	0.02	0.168	0.094	0.155	62	166	150	101	53	110
cadm1_high		chr5:NPM1:s:171405403|5:171405403-171406396:+	NPM1	chr5:NPM1:s:171405403	s	171405403	5:171405403-171406396:+	5	171405403	171406396	+	100.2	0.343		0.38	0.037	0.047		welch	0.5051804040156028	0.9655019792943904	0	0	0.123	0.479	0.288	0.288	0.38	0.488	57	117	59	139	108	121
cadm1_high		chr6:BAG6:t:31639226|6:31639226-31640198:-	BAG6	chr6:BAG6:t:31639226	t	31639226	6:31639226-31640198:-	6	31639226	31640198	-	272.7	0.416		0.453	0.037	0.011		welch	0.4648482710136766	0.9655019792943904	0	0	0.33	0.452	0.437	0.362	0.545	0.473	203	321	286	329	277	220
cadm1_high		chr16:RNPS1:t:2264760|16:2264760-2267662:-	RNPS1	chr16:RNPS1:t:2264760	t	2264760	16:2264760-2267662:-	16	2264760	2267662	-	182.2	0.149		0.186	0.037	0.027		welch	0.6780067732180484	0.9695427997180214	0	0	0.106	0.184	0.147	0.158	0.059	0.343	160	201	163	222	169	178
cadm1_high		chr16:KARS1:t:75641723|16:75641723-75644282:-	KARS1	chr16:KARS1:t:75641723	t	75641723	16:75641723-75644282:-	16	75641723	75644282	-	153.7	0.295		0.332	0.037	0.067		welch	0.8757412348470675	0.9695427997180214	0	0	0.327	0.224	0.378	0.19	0.409	0.371	107	214	143	137	181	140
cadm1_high		chr22:SMARCB1:t:23793558|22:23791894-23793558:+	SMARCB1	chr22:SMARCB1:t:23793558	t	23793558	22:23791894-23793558:+	22	23791894	23793558	+	136.2	0.474		0.511	0.037	0.036		welch	0.876231797486836	0.9695427997180214	0	0	0.571	0.332	0.617	0.538	0.467	0.564	140	190	94	119	180	94
cadm1_high		chr9:CDKN2A:t:21971208|9:21971208-21994138:-	CDKN2A	chr9:CDKN2A:t:21971208	t	21971208	9:21971208-21994138:-	9	21971208	21994138	-	184.8	0.537		0.574	0.037	0.054		welch	0.5903652360537034	0.9695427997180214	0	0	0.465	0.522	0.637	0.511	0.54	0.718	187	251	171	176	200	124
cadm1_high		chr19:USF2:s:35269699|19:35269699-35269802:+	USF2	chr19:USF2:s:35269699	s	35269699	19:35269699-35269802:+	19	35269699	35269802	+	158.7	0.324		0.361	0.037	0.054		welch	0.9014480848511768	0.9809208379236987	0	0	0.38	0.294	0.315	0.508	0.231	0.287	129	180	178	193	143	129
cadm1_high		chr19:RNF126:s:649678|19:649052-649678:-	RNF126	chr19:RNF126:s:649678	s	649678	19:649052-649678:-	19	649052	649678	-	147.8	0.019		0.054	0.035	0.015		welch	0.5001554936154683	0.9655019792943904	0	0	0.021	0.0	0.035	0.211	0.0	0.013	146	160	171	95	155	160
cadm1_high		chr19:CIC:s:42293836|19:42293836-42293934:+	CIC	chr19:CIC:s:42293836	s	42293836	19:42293836-42293934:+	19	42293836	42293934	+	113.3	0.692		0.726	0.034	0.049		welch	0.5357658658242509	0.9695427997180214	0	0	0.62	0.745	0.698	0.684	0.874	0.664	92	110	106	152	95	125
cadm1_high		chr8:RPL7:t:73292797|8:73292797-73293865:-	RPL7	chr8:RPL7:t:73292797	t	73292797	8:73292797-73293865:-	8	73292797	73293865	-	167.3	0.202		0.236	0.034	0.009		welch	0.7574570725052546	0.9695427997180214	0	0	0.117	0.241	0.243	0.366	0.058	0.28	171	141	218	161	156	157
cadm1_high		chr5:TCOF1:t:150391956|5:150391657-150391956:+	TCOF1	chr5:TCOF1:t:150391956	t	150391956	5:150391657-150391956:+	5	150391657	150391956	+	175.3	0.577		0.61	0.033	0.063		welch	0.5039079112078171	0.9655019792943904	0	0	0.5	0.498	0.69	0.612	0.544	0.709	146	203	239	183	171	110
cadm1_high		chr1:MICOS10-NBL1:s:19597109|1:19597109-19623473:+	MICOS10-NBL1	chr1:MICOS10-NBL1:s:19597109	s	19597109	1:19597109-19623473:+	1	19597109	19623473	+	141.5	0.075		0.107	0.033	0.053		welch	0.6723771522913422	0.9695427997180214	0	0	0.118	0.011	0.113	0.023	0.229	0.088	76	189	230	131	109	114
