contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit	psi_Hek_control_1	psi_Hek_control_2	psi_Hek_control_3	psi_CADM1_1nM-1	psi_CADM1_1nM-2	psi_CADM1_1nM-3	psi_CADM1_100nM-1	psi_CADM1_100nM-2	psi_CADM1_100nM-3	n_Hek_control_1	n_Hek_control_2	n_Hek_control_3	n_CADM1_1nM-1	n_CADM1_1nM-2	n_CADM1_1nM-3	n_CADM1_100nM-1	n_CADM1_100nM-2	n_CADM1_100nM-3
cadm1_dose		chr16:CARMIL2:t:67657238|16:67656645-67657238:+	CARMIL2	chr16:CARMIL2:t:67657238	t	67657238	16:67656645-67657238:+	16	67656645	67657238	+	179.6	0.741	0.729	0.833	0.092	0.067	0.0506	ols_slope	0.19470680501361187	0.8520392980911292	0	0	0.694	0.862	0.655	0.734	0.659	0.81	0.897	0.863	0.755	170	203	194	229	135	105	174	190	216
cadm1_dose		chr16:PSMB10:t:67934948|16:67934948-67935295:-	PSMB10	chr16:PSMB10:t:67934948	t	67934948	16:67934948-67935295:-	16	67934948	67935295	-	114.4	0.195	0.197	0.285	0.091	0.097	0.0358	ols_slope	0.32641012940654396	0.9150517798418184	1	0	0.183	0.21	0.195	0.174	0.245	0.17	0.11	0.299	0.394	191	143	118	86	102	106	73	107	104
cadm1_dose		chr22:EIF3D:t:36526131|22:36526131-36529075:-	EIF3D	chr22:EIF3D:t:36526131	t	36526131	22:36526131-36529075:-	22	36526131	36529075	-	136.3	0.884	0.895	0.974	0.09	0.102	0.0394	ols_slope	0.23957387832498156	0.8520392980911292	1	0	0.932	0.789	0.97	0.836	1.0	0.848	0.955	1.0	0.973	88	199	169	159	146	125	132	98	111
cadm1_dose		chr7:HOTAIRM1:t:27099778|7:27099366-27099778:+	HOTAIRM1	chr7:HOTAIRM1:t:27099778	t	27099778	7:27099366-27099778:+	7	27099366	27099778	+	145.8	0.808	0.855	0.896	0.088	0.084	0.0496	ols_slope	0.1193275926893896	0.8098539820805224	1	0	0.664	0.862	0.863	0.812	0.848	0.919	0.885	0.891	0.911	122	174	153	160	165	123	139	119	157
cadm1_dose		chr16:RPS15A:t:18789118|16:18789118-18790309:-	RPS15A	chr16:RPS15A:t:18789118	t	18789118	16:18789118-18790309:-	16	18789118	18790309	-	186.9	0.684	0.741	0.772	0.088	0.061	0.0311	ols_slope	0.3722973861131158	0.9150517798418184	1	0	0.774	0.688	0.628	0.772	0.694	0.763	0.793	0.623	0.861	133	269	234	197	193	135	174	146	201
cadm1_dose		chr19:DNM2:t:10812263|19:10805967-10812263:+	DNM2	chr19:DNM2:t:10812263	t	10812263	19:10805967-10812263:+	19	10805967	10812263	+	117.1	0.79	0.75	0.878	0.088	0.096	0.0381	ols_slope	0.5115183895289286	0.983758434534779	0	0	0.978	0.673	0.747	0.853	0.82	0.576	0.859	0.971	0.797	91	110	99	109	133	118	135	136	123
cadm1_dose		chr19:DMKN:t:35510252|19:35510252-35510378:-	DMKN	chr19:DMKN:t:35510252	t	35510252	19:35510252-35510378:-	19	35510252	35510378	-	134.6	0.366	0.379	0.453	0.087	0.086	0.0371	ols_slope	0.353420996072317	0.9150517798418184	1	0	0.338	0.463	0.312	0.348	0.485	0.233	0.483	0.481	0.372	130	162	221	141	167	90	89	133	78
cadm1_dose		chr19:PRKCSH:s:11447618|19:11447618-11447692:+	PRKCSH	chr19:PRKCSH:s:11447618	s	11447618	19:11447618-11447692:+	19	11447618	11447692	+	128.3	0.335	0.357	0.418	0.083	0.047	0.0449	ols_slope	0.18873703181308446	0.8520392980911292	1	0	0.292	0.297	0.401	0.306	0.377	0.408	0.287	0.479	0.493	96	209	182	121	122	71	122	96	136
cadm1_dose		chr14:ENSG00000288044:t:24298613|14:24271310-24298613:+	ENSG00000288044	chr14:ENSG00000288044:t:24298613	t	24298613	14:24271310-24298613:+	14	24271310	24298613	+	102.9	0.687	0.749	0.77	0.083	0.103	0.0396	ols_slope	0.4811778962150603	0.9729364864924035	1	0	0.94	0.492	0.637	0.788	0.708	0.733	0.852	0.726	0.729	67	61	102	165	113	101	108	113	96
cadm1_dose		chr1:DNAJC8:s:28232920|1:28229023-28232920:-	DNAJC8	chr1:DNAJC8:s:28232920	s	28232920	1:28229023-28232920:-	1	28229023	28232920	-	175.4	0.841	0.899	0.923	0.082	0.068	0.0524	ols_slope	0.12236323356390397	0.8098539820805224	1	0	0.731	0.935	0.788	0.953	0.956	0.822	0.93	0.905	0.934	108	201	137	106	203	225	185	201	213
cadm1_dose		chr19:TCF3:t:1611849|19:1611849-1615284:-	TCF3	chr19:TCF3:t:1611849	t	1611849	19:1611849-1615284:-	19	1611849	1615284	-	234.2	0.499	0.45	0.581	0.082	0.09	0.0366	ols_slope	0.3147018000536241	0.9150517798418184	0	0	0.563	0.557	0.414	0.427	0.396	0.566	0.54	0.618	0.595	215	203	295	241	280	175	289	262	148
cadm1_dose		chrX:EOLA2:t:149937480|X:149937480-149938141:-	EOLA2	chrX:EOLA2:t:149937480	t	149937480	X:149937480-149938141:-	X	149937480	149938141	-	126.2	0.168	0.236	0.25	0.082	0.151	0.0419	ols_slope	0.33330119596949886	0.9150517798418184	1	0	0.163	0.258	0.078	0.305	0.086	0.299	0.312	0.302	0.135	80	120	116	141	128	147	109	162	133
cadm1_dose		chr8:SNHG6:t:66922392|8:66922392-66922613:-	SNHG6	chr8:SNHG6:t:66922392	t	66922392	8:66922392-66922613:-	8	66922392	66922613	-	158.9	0.448	0.653	0.53	0.082	0.094	0.0361	ols_slope	0.49677944432514143	0.9800879524166943	0	0	0.6	0.452	0.319	0.596	0.667	0.728	0.528	0.517	0.543	115	230	144	183	138	114	199	145	162
cadm1_dose		chr20:FRG1BP:t:30379584|20:30377721-30379584:+	FRG1BP	chr20:FRG1BP:t:30379584	t	30379584	20:30377721-30379584:+	20	30377721	30379584	+	114.7	0.692	0.704	0.772	0.081	0.081	0.053	ols_slope	0.21609501998462913	0.8520392980911292	1	0	0.629	0.653	0.762	0.849	0.651	0.651	0.841	0.867	0.654	116	118	168	86	86	146	69	113	130
cadm1_dose		chr5:MACROH2A1:s:135360496|5:135353045-135360496:-	MACROH2A1	chr5:MACROH2A1:s:135360496	s	135360496	5:135353045-135360496:-	5	135353045	135360496	-	157.8	0.844	0.83	0.924	0.08	0.075	0.0512	ols_slope	0.13730994002438132	0.8098539820805224	0	0	0.698	0.897	0.861	0.877	0.841	0.746	0.918	0.96	0.885	106	223	216	203	107	130	171	151	113
cadm1_dose		chr1:ENSG00000233461:t:231522637|1:231522637-231527337:-	ENSG00000233461	chr1:ENSG00000233461:t:231522637	t	231522637	1:231522637-231527337:-	1	231522637	231527337	-	164.6	0.524	0.67	0.604	0.08	0.09	0.0343	ols_slope	0.44564750318643775	0.9553558989835146	0	0	0.612	0.523	0.437	0.646	0.681	0.688	0.706	0.45	0.622	129	216	126	178	144	160	197	151	180
cadm1_dose		chr5:GRK6:s:177441053|5:177441053-177441734:+	GRK6	chr5:GRK6:s:177441053	s	177441053	5:177441053-177441734:+	5	177441053	177441734	+	102.0	0.355	0.346	0.434	0.079	0.029	0.0361	ols_slope	0.5420161810066151	0.983758434534779	0	0	0.271	0.442	0.348	0.302	0.422	0.314	0.452	0.642	0.184	96	104	155	106	90	70	115	95	87
cadm1_dose		chr2:MRPL33:t:27779432|2:27772692-27779432:+	MRPL33	chr2:MRPL33:t:27779432	t	27779432	2:27772692-27779432:+	2	27772692	27779432	+	132.9	0.501	0.496	0.579	0.078	0.071	0.0496	ols_slope	0.2770441318920099	0.8930477206290177	0	0	0.301	0.531	0.627	0.517	0.537	0.42	0.638	0.525	0.594	103	128	134	172	136	119	116	160	128
cadm1_dose		chr11:TRPT1:s:64224284|11:64223967-64224284:-	TRPT1	chr11:TRPT1:s:64224284	s	64224284	11:64223967-64224284:-	11	64223967	64224284	-	160.3	0.17	0.211	0.247	0.077	0.078	0.0365	ols_slope	0.29245890105164424	0.9150517798418184	1	0	0.16	0.22	0.108	0.109	0.243	0.272	0.127	0.245	0.335	212	264	176	110	107	125	110	184	155
cadm1_dose		chrX:FMR1:s:147943326|X:147943326-147944943:+	FMR1	chrX:FMR1:s:147943326	s	147943326	X:147943326-147944943:+	X	147943326	147944943	+	239.7	0.243	0.18	0.32	0.077	0.048	0.033	ols_slope	0.4601454760150514	0.9553558989835146	0	0	0.188	0.198	0.397	0.218	0.091	0.214	0.255	0.347	0.378	452	258	237	271	197	210	196	225	111
cadm1_dose		chr7:SSBP1:t:141739123|7:141738575-141739123:+	SSBP1	chr7:SSBP1:t:141739123	t	141739123	7:141738575-141739123:+	7	141738575	141739123	+	118.8	0.187	0.216	0.262	0.075	0.047	0.0494	ols_slope	0.2269050845416937	0.8520392980911292	1	0	0.103	0.239	0.168	0.284	0.186	0.092	0.219	0.182	0.405	78	188	161	183	97	76	114	88	84
cadm1_dose		chr9:SURF2:t:133357710|9:133357182-133357710:+	SURF2	chr9:SURF2:t:133357710	t	133357710	9:133357182-133357710:+	9	133357182	133357710	+	148.2	0.099	0.067	0.174	0.075	0.038	0.0419	ols_slope	0.3122447800203337	0.9150517798418184	0	0	0.075	0.12	0.09	0.042	0.106	0.043	0.074	0.106	0.357	146	217	133	166	160	92	121	170	129
cadm1_dose		chr14:BCL2L2-PABPN1:s:23308199|14:23308199-23322180:+	BCL2L2-PABPN1	chr14:BCL2L2-PABPN1:s:23308199	s	23308199	14:23308199-23322180:+	14	23308199	23322180	+	100.1	0.397	0.428	0.472	0.075	0.054	0.0404	ols_slope	0.484296510017424	0.9729364864924035	1	0	0.391	0.296	0.495	0.44	0.5	0.327	0.381	0.326	0.717	87	98	105	109	118	98	105	89	92
cadm1_dose		chr12:SFSWAP:s:131756644|12:131756644-131764455:+	SFSWAP	chr12:SFSWAP:s:131756644	s	131756644	12:131756644-131764455:+	12	131756644	131764455	+	126.0	0.621	0.818	0.695	0.075	0.036	0.0305	ols_slope	0.5864806327614205	0.983758434534779	0	0	0.596	0.673	0.592	0.731	0.83	0.865	0.849	0.512	0.683	151	171	184	78	147	111	106	82	104
cadm1_dose		chrX:NAA10:t:153932584|X:153932584-153933960:-	NAA10	chrX:NAA10:t:153932584	t	153932584	X:153932584-153933960:-	X	153932584	153933960	-	266.0	0.389	0.474	0.463	0.074	0.112	0.0378	ols_slope	0.277461932303784	0.8930477206290177	0	0	0.415	0.405	0.341	0.406	0.433	0.569	0.581	0.4	0.408	195	301	208	288	263	318	272	250	299
cadm1_dose		chr19:RUVBL2:t:48999318|19:48993923-48999318:+	RUVBL2	chr19:RUVBL2:t:48999318	t	48999318	19:48993923-48999318:+	19	48993923	48999318	+	106.2	0.862	0.86	0.937	0.074	0.055	0.0329	ols_slope	0.35539116381371777	0.9150517798418184	0	0	0.871	0.9	0.837	0.909	0.893	0.686	0.939	0.971	0.896	93	100	184	110	103	51	179	69	67
cadm1_dose		chr16:METTL26:t:634797|16:634797-634888:-	METTL26	chr16:METTL26:t:634797	t	634797	16:634797-634888:-	16	634797	634888	-	409.6	0.47	0.556	0.544	0.074	0.06	0.0331	ols_slope	0.39075245035234774	0.9155331057204849	0	0	0.471	0.416	0.517	0.508	0.546	0.649	0.463	0.464	0.676	291	464	518	461	434	291	361	403	463
cadm1_dose		chr9:TMEM141:s:136791424|9:136791424-136791946:+	TMEM141	chr9:TMEM141:s:136791424	s	136791424	9:136791424-136791946:+	9	136791424	136791946	+	104.8	0.185	0.144	0.256	0.071	0.068	0.0277	ols_slope	0.44655720674249594	0.9553558989835146	0	0	0.253	0.07	0.243	0.187	0.11	0.125	0.229	0.17	0.333	75	114	136	107	91	80	96	100	144
cadm1_dose		chr9:ANKRD18B:s:33541227|9:33541227-33543181:+	ANKRD18B	chr9:ANKRD18B:s:33541227	s	33541227	9:33541227-33543181:+	9	33541227	33543181	+	145.6	0.223	0.281	0.294	0.071	0.055	0.0235	ols_slope	0.482469163274116	0.9729364864924035	1	0	0.385	0.134	0.19	0.269	0.316	0.256	0.327	0.23	0.293	65	97	58	182	187	180	266	135	140
cadm1_dose		chr16:VKORC1:s:31094556|16:31091342-31094556:-	VKORC1	chr16:VKORC1:s:31094556	s	31094556	16:31091342-31094556:-	16	31091342	31094556	-	162.0	0.345	0.505	0.416	0.07	0.031	0.0312	ols_slope	0.5386378130671032	0.983758434534779	0	0	0.37	0.219	0.463	0.517	0.461	0.55	0.286	0.535	0.419	162	183	162	201	180	120	161	172	117
cadm1_dose		chr1:FLAD1:t:154992712|1:154984066-154992712:+	FLAD1	chr1:FLAD1:t:154992712	t	154992712	1:154984066-154992712:+	1	154984066	154992712	+	108.9	0.094	0.244	0.163	0.068	0.081	0.0264	ols_slope	0.45074064842046174	0.9553558989835146	0	0	0.037	0.156	0.088	0.213	0.252	0.265	0.159	0.199	0.082	134	135	113	94	107	102	88	146	61
cadm1_dose		chr6:ACAT2:s:159763053|6:159763053-159767004:+	ACAT2	chr6:ACAT2:s:159763053	s	159763053	6:159763053-159767004:+	6	159763053	159767004	+	100.0	0.933	0.971	1.0	0.067		0.0492	ols_slope	0.16122890720001748	0.8098539820805224	1	0	1.0	0.75	0.955	0.911	1.0	1.0	1.0	1.0	1.0	71	44	154	90	86	101	119	101	134
cadm1_dose		chr7:FIS1:s:101244959|7:101244139-101244959:-	FIS1	chr7:FIS1:s:101244959	s	101244959	7:101244139-101244959:-	7	101244139	101244959	-	254.8	0.829	0.861	0.895	0.067	0.055	0.0432	ols_slope	0.18291092147008736	0.8520392980911292	1	0	0.842	0.705	0.876	0.776	0.9	0.925	0.832	0.937	0.913	292	176	378	330	230	294	190	207	196
cadm1_dose		chr11:ANAPC15:s:72112649|11:72111496-72112649:-	ANAPC15	chr11:ANAPC15:s:72112649	s	72112649	11:72111496-72112649:-	11	72111496	72112649	-	136.8	0.753	0.763	0.818	0.065	0.028	0.0375	ols_slope	0.3880971495004255	0.915092226190477	1	0	0.619	0.789	0.819	0.792	0.883	0.597	0.859	0.807	0.787	113	166	138	149	128	119	149	119	150
cadm1_dose		chr17:CEP131:s:81192317|17:81191350-81192317:-	CEP131	chr17:CEP131:s:81192317	s	81192317	17:81191350-81192317:-	17	81191350	81192317	-	112.8	0.198	0.184	0.261	0.064	0.103	0.0319	ols_slope	0.416569378689735	0.9378044304170918	0	0	0.11	0.214	0.241	0.178	0.057	0.301	0.237	0.343	0.176	82	131	116	135	88	103	135	134	91
cadm1_dose		chr11:AAMDC:t:77842478|11:77821241-77842478:+	AAMDC	chr11:AAMDC:t:77842478	t	77842478	11:77821241-77842478:+	11	77821241	77842478	+	144.6	0.794	0.867	0.857	0.064	0.056	0.0278	ols_slope	0.5009824578201406	0.9800879524166943	0	0	0.673	0.878	0.8	0.861	0.868	0.871	0.9	0.934	0.684	101	131	180	108	182	101	259	122	117
cadm1_dose		chr10:NOLC1:t:102159432|10:102159308-102159432:+	NOLC1	chr10:NOLC1:t:102159432	t	102159432	10:102159308-102159432:+	10	102159308	102159432	+	161.8	0.755	0.769	0.818	0.063	0.083	0.0249	ols_slope	0.4895835340518076	0.9748152144675991	1	0	0.888	0.617	0.826	0.797	0.783	0.734	0.772	0.86	0.848	98	154	115	138	203	188	246	150	164
cadm1_dose		chr5:RPL26L1:t:172959864|5:172959468-172959864:+	RPL26L1	chr5:RPL26L1:t:172959864	t	172959864	5:172959468-172959864:+	5	172959468	172959864	+	168.8	0.463	0.567	0.525	0.062	0.001	0.0359	ols_slope	0.36375158971767746	0.9150517798418184	0	0	0.4	0.368	0.595	0.62	0.594	0.443	0.5	0.532	0.546	130	155	173	205	207	131	172	216	130
cadm1_dose		chr19:DNM2:s:10805967|19:10805967-10812263:+	DNM2	chr19:DNM2:s:10805967	s	10805967	19:10805967-10812263:+	19	10805967	10812263	+	116.6	0.814	0.744	0.876	0.062	0.071	0.0266	ols_slope	0.6532021787491983	0.983758434534779	0	0	0.989	0.725	0.747	0.886	0.784	0.571	0.885	0.971	0.766	90	102	99	105	139	119	131	136	128
cadm1_dose		chr19:RAD23A:s:12949159|19:12949159-12949274:+	RAD23A	chr19:RAD23A:s:12949159	s	12949159	19:12949159-12949274:+	19	12949159	12949274	+	158.9	0.601	0.637	0.662	0.061	0.041	0.0409	ols_slope	0.3810981059867739	0.9150517798418184	1	0	0.392	0.686	0.595	0.669	0.64	0.597	0.777	0.602	0.54	79	210	237	163	136	144	206	118	137
cadm1_dose		chr12:HNRNPA1:t:54283826|12:54281896-54283826:+	HNRNPA1	chr12:HNRNPA1:t:54283826	t	54283826	12:54281896-54283826:+	12	54281896	54283826	+	105.0	0.261	0.274	0.322	0.061	0.055	0.0248	ols_slope	0.5760232503380589	0.983758434534779	1	0	0.367	0.163	0.271	0.214	0.316	0.303	0.435	0.142	0.372	60	80	144	117	117	76	108	106	137
cadm1_dose		chr7:NUDT1:t:2244562|7:2242975-2244562:+	NUDT1	chr7:NUDT1:t:2244562	t	2244562	7:2242975-2244562:+	7	2242975	2244562	+	192.8	0.214	0.183	0.274	0.06	0.047	0.0382	ols_slope	0.3327756987129941	0.9150517798418184	0	0	0.178	0.247	0.207	0.279	0.094	0.111	0.321	0.361	0.179	157	223	275	233	180	90	196	147	234
cadm1_dose		chr19:PTBP1:s:805187|19:805187-806407:+	PTBP1	chr19:PTBP1:s:805187	s	805187	19:805187-806407:+	19	805187	806407	+	221.9	0.523	0.527	0.583	0.06	-0.017	0.0348	ols_slope	0.4998079002880002	0.9800879524166943	1	0	0.485	0.522	0.562	0.593	0.556	0.274	0.585	0.49	0.703	264	297	276	236	187	84	207	251	195
cadm1_dose		chr20:NOP56:t:2656773|20:2656549-2656773:+	NOP56	chr20:NOP56:t:2656773	t	2656773	20:2656549-2656773:+	20	2656549	2656773	+	190.1	0.787	0.767	0.846	0.059	0.049	0.0343	ols_slope	0.3018171135567536	0.9150517798418184	0	0	0.844	0.825	0.707	0.72	0.829	0.758	0.784	0.839	0.959	167	137	188	239	205	186	250	193	146
cadm1_dose		chr9:ENTR1:t:136407938|9:136407938-136410089:-	ENTR1	chr9:ENTR1:t:136407938	t	136407938	9:136407938-136410089:-	9	136407938	136410089	-	115.9	0.64	0.6	0.698	0.059	0.114	0.0389	ols_slope	0.3804997721970573	0.9150517798418184	0	0	0.747	0.434	0.642	0.611	0.658	0.516	0.747	0.643	0.667	99	53	120	149	152	122	162	84	102
cadm1_dose		chr4:MRPS18C:s:83456958|4:83456958-83458345:+	MRPS18C	chr4:MRPS18C:s:83456958	s	83456958	4:83456958-83458345:+	4	83456958	83458345	+	132.6	0.358	0.433	0.416	0.058	0.023	0.0121	ols_slope	0.8144383503741844	0.983758434534779	0	0	0.443	0.352	0.282	0.33	0.53	0.41	0.232	0.581	0.336	106	182	103	94	132	139	112	191	134
cadm1_dose		chr10:ANAPC16:s:72216138|10:72216138-72220053:+	ANAPC16	chr10:ANAPC16:s:72216138	s	72216138	10:72216138-72220053:+	10	72216138	72220053	+	142.0	0.526	0.643	0.583	0.057	0.099	0.0281	ols_slope	0.5239453071612071	0.983758434534779	0	0	0.474	0.561	0.54	0.534	0.614	0.825	0.623	0.562	0.559	175	173	198	148	88	103	138	153	102
cadm1_dose		chr16:HMOX2:t:4505483|16:4476487-4505483:+	HMOX2	chr16:HMOX2:t:4505483	t	4505483	16:4476487-4505483:+	16	4476487	4505483	+	112.4	0.795	0.929	0.851	0.056	-0.011	0.0229	ols_slope	0.6200638532406942	0.983758434534779	0	0	0.647	0.856	0.903	0.904	0.947	0.935	0.885	0.931	0.728	119	125	93	114	131	107	104	116	103
cadm1_dose		chr19:PRPF31:s:54115797|19:54115797-54118270:+	PRPF31	chr19:PRPF31:s:54115797	s	54115797	19:54115797-54118270:+	19	54115797	54118270	+	134.8	0.703	0.828	0.759	0.056	0.035	0.0002	ols_slope	0.9974343463847789	0.9974343463847789	0	0	0.882	0.672	0.633	0.855	0.736	0.936	0.82	0.577	0.791	85	131	158	110	159	109	211	97	153
cadm1_dose		chr20:MCTS2:s:31561736|20:31561736-31569119:+	MCTS2	chr20:MCTS2:s:31561736	s	31561736	20:31561736-31569119:+	20	31561736	31569119	+	100.9	0.124	0.2	0.179	0.055	0.012	0.031	ols_slope	0.45141161571087557	0.9553558989835146	0	0	0.041	0.233	0.078	0.311	0.069	0.167	0.21	0.096	0.233	74	120	154	103	58	114	105	94	86
cadm1_dose		chr10:DNAJC9:s:73243842|10:73241760-73243842:-	DNAJC9	chr10:DNAJC9:s:73243842	s	73243842	10:73241760-73243842:-	10	73241760	73243842	-	103.9	0.0	0.0	0.054	0.054		0.043	ols_slope	0.24434095200770986	0.8520392980911292	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.258	91	118	90	143	94	100	125	112	62
cadm1_dose		chr1:CHTOP:s:153638448|1:153638448-153642245:+	CHTOP	chr1:CHTOP:s:153638448	s	153638448	1:153638448-153642245:+	1	153638448	153642245	+	176.4	0.435	0.412	0.488	0.053	-0.006	0.0358	ols_slope	0.3790379671833267	0.9150517798418184	0	0	0.415	0.389	0.477	0.395	0.356	0.522	0.367	0.645	0.482	164	175	277	190	163	115	218	172	114
cadm1_dose		chr17:SAT2:t:7627414|17:7627414-7627569:-	SAT2	chr17:SAT2:t:7627414	t	7627414	17:7627414-7627569:-	17	7627414	7627569	-	107.1	0.224	0.135	0.277	0.053	0.003	0.0382	ols_slope	0.4306260107655123	0.9553558989835146	0	0	0.186	0.203	0.269	0.284	0.04	0.13	0.217	0.232	0.438	86	123	130	67	101	92	138	138	89
cadm1_dose		chr1:TRAPPC3:t:36140166|1:36140166-36149091:-	TRAPPC3	chr1:TRAPPC3:t:36140166	t	36140166	1:36140166-36149091:-	1	36140166	36149091	-	133.7	0.027	0.127	0.079	0.051	0.038	0.0186	ols_slope	0.6382589455117672	0.983758434534779	0	0	0.0	0.029	0.04	0.0	0.248	0.139	0.0	0.028	0.152	99	137	202	156	153	101	84	107	164
cadm1_dose		chr16:SH2B1:t:28873169|16:28872705-28873169:+	SH2B1	chr16:SH2B1:t:28873169	t	28873169	16:28872705-28873169:+	16	28872705	28873169	+	152.7	0.758	0.69	0.808	0.05	0.027	0.0249	ols_slope	0.4627505135701398	0.9553558989835146	0	0	0.689	0.736	0.835	0.737	0.622	0.711	0.842	0.843	0.724	167	129	188	118	143	197	184	121	127
cadm1_dose		chr19:RNF126:t:650296|19:650296-651691:-	RNF126	chr19:RNF126:t:650296	t	650296	19:650296-651691:-	19	650296	651691	-	108.7	0.111	0.122	0.16	0.049	0.013	0.0319	ols_slope	0.335690968914754	0.9150517798418184	1	0	0.043	0.18	0.082	0.067	0.244	0.082	0.145	0.105	0.247	116	172	134	119	90	110	69	95	73
cadm1_dose		chr21:SLX9:s:44967181|21:44967181-44973196:+	SLX9	chr21:SLX9:s:44967181	s	44967181	21:44967181-44973196:+	21	44967181	44973196	+	140.1	0.763	0.781	0.812	0.049	0.066	0.0164	ols_slope	0.7381633761149808	0.983758434534779	1	0	0.849	0.593	0.879	0.703	0.899	0.67	0.893	0.756	0.771	86	145	149	155	198	103	159	135	131
cadm1_dose		chr15:MRPS11:s:88467782|15:88467782-88467907:+	MRPS11	chr15:MRPS11:s:88467782	s	88467782	15:88467782-88467907:+	15	88467782	88467907	+	121.1	0.65	0.682	0.698	0.048	0.017	0.0222	ols_slope	0.5865183092242645	0.983758434534779	1	0	0.568	0.562	0.822	0.697	0.735	0.588	0.701	0.628	0.756	125	169	146	119	136	97	134	78	86
cadm1_dose		chr6:GMNN:t:24777221|6:24775112-24777221:+	GMNN	chr6:GMNN:t:24777221	t	24777221	6:24775112-24777221:+	6	24775112	24777221	+	134.0	0.493	0.503	0.54	0.047	0.14	0.0304	ols_slope	0.3674229316320679	0.9150517798418184	1	0	0.364	0.517	0.556	0.52	0.509	0.479	0.469	0.655	0.497	107	201	142	102	112	94	143	148	157
cadm1_dose		chr6:RPP21:t:30346712|6:30346564-30346712:+	RPP21	chr6:RPP21:t:30346712	t	30346712	6:30346564-30346712:+	6	30346564	30346712	+	110.1	0.063	0.121	0.11	0.047	0.027	0.0092	ols_slope	0.7912107083351871	0.983758434534779	0	0	0.078	0.043	0.07	0.23	0.023	0.079	0.0	0.051	0.195	103	116	100	152	130	89	74	78	149
cadm1_dose		chr19:ELAVL1:t:7963807|19:7963807-7973558:-	ELAVL1	chr19:ELAVL1:t:7963807	t	7963807	19:7963807-7973558:-	19	7963807	7973558	-	111.6	0.202	0.136	0.248	0.046	0.092	0.0227	ols_slope	0.5633908021736608	0.983758434534779	0	0	0.311	0.173	0.147	0.189	0.053	0.229	0.175	0.246	0.346	103	104	150	106	190	109	103	61	78
cadm1_dose		chr19:AKAP8:t:15368322|19:15368322-15369066:-	AKAP8	chr19:AKAP8:t:15368322	t	15368322	19:15368322-15369066:-	19	15368322	15369066	-	102.3	0.054	0.107	0.099	0.045	0.049	0.0363	ols_slope	0.35706118044240565	0.9150517798418184	0	0	0.091	0.023	0.06	0.121	0.07	0.169	0.309	0.022	0.06	99	131	84	91	171	83	55	91	116
cadm1_dose		chr17:RPL26:t:8382315|17:8382315-8382861:-	RPL26	chr17:RPL26:t:8382315	t	8382315	17:8382315-8382861:-	17	8382315	8382861	-	101.2	0.231	0.118	0.276	0.045	0.101	0.0211	ols_slope	0.5543725956486256	0.983758434534779	0	0	0.176	0.212	0.315	0.105	0.159	0.101	0.27	0.282	0.278	74	113	73	124	88	109	126	78	126
cadm1_dose		chr19:UBL5:t:9828326|19:9827984-9828326:+	UBL5	chr19:UBL5:t:9828326	t	9828326	19:9827984-9828326:+	19	9827984	9828326	+	188.0	0.712	0.759	0.758	0.045	-0.006	0.0183	ols_slope	0.6056528190313027	0.983758434534779	0	0	0.723	0.702	0.721	0.669	0.737	0.913	0.839	0.68	0.737	166	352	201	166	186	126	186	153	156
cadm1_dose		chr19:PRKCSH:t:11447692|19:11447618-11447692:+	PRKCSH	chr19:PRKCSH:t:11447692	t	11447692	19:11447618-11447692:+	19	11447618	11447692	+	115.4	0.4	0.373	0.446	0.045	0.065	0.0233	ols_slope	0.5927648136307658	0.983758434534779	0	0	0.333	0.504	0.365	0.294	0.407	0.475	0.385	0.354	0.604	84	123	200	126	113	61	91	130	111
cadm1_dose		chr19:HNRNPUL1:t:41268222|19:41264692-41268222:+	HNRNPUL1	chr19:HNRNPUL1:t:41268222	t	41268222	19:41264692-41268222:+	19	41264692	41268222	+	124.4	0.185	0.138	0.229	0.044	0.017	0.0236	ols_slope	0.5529089294095194	0.983758434534779	0	0	0.216	0.243	0.077	0.17	0.133	0.11	0.367	0.108	0.203	125	202	143	94	120	91	109	93	143
cadm1_dose		chr10:RPP38:t:15103304|10:15097766-15103304:+	RPP38	chr10:RPP38:t:15103304	t	15103304	10:15097766-15103304:+	10	15097766	15103304	+	122.9	0.196	0.241	0.24	0.043	0.064	0.033	ols_slope	0.36290726402014634	0.9150517798418184	0	0	0.228	0.158	0.21	0.198	0.265	0.252	0.238	0.423	0.133	127	152	124	101	117	151	143	71	120
cadm1_dose		chr12:NCOR2:s:124419956|12:124402558-124419956:-	NCOR2	chr12:NCOR2:s:124419956	s	124419956	12:124402558-124419956:-	12	124402558	124419956	-	121.7	0.184	0.143	0.227	0.043	0.01	0.0216	ols_slope	0.5499185056422443	0.983758434534779	0	0	0.172	0.217	0.155	0.254	0.077	0.094	0.224	0.328	0.121	93	157	142	126	142	96	116	116	107
