contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit	psi_Hek_control_1	psi_Hek_control_2	psi_Hek_control_3	psi_Ris_dose_25mM-1	psi_Ris_dose_25mM-2	psi_Ris_dose_25mM-3	n_Hek_control_1	n_Hek_control_2	n_Hek_control_3	n_Ris_dose_25mM-1	n_Ris_dose_25mM-2	n_Ris_dose_25mM-3
ris_low		chr11:CTTN:t:70422939|11:70420510-70422939:+	CTTN	chr11:CTTN:t:70422939	t	70422939	11:70420510-70422939:+	11	70420510	70422939	+	142.3	0.015		0.089	0.074	0.057		welch	0.5120517263441988	0.9646329354635802	0	0	0.0	0.0	0.042	0.0	0.0	0.204	122	227	191	131	46	137
ris_low		chr19:DMKN:t:35510252|19:35510252-35510378:-	DMKN	chr19:DMKN:t:35510252	t	35510252	19:35510252-35510378:-	19	35510252	35510378	-	127.8	0.366		0.441	0.074	0.08		welch	0.6178112049581899	0.9646329354635802	0	0	0.338	0.463	0.312	0.594	0.34	0.34	130	162	221	101	103	50
ris_low		chr16:VKORC1:t:31091342|16:31091342-31094556:-	VKORC1	chr16:VKORC1:t:31091342	t	31091342	16:31091342-31094556:-	16	31091342	31094556	-	111.5	0.527		0.599	0.072	0.106		welch	0.6332047237441765	0.9646329354635802	0	0	0.674	0.331	0.615	0.708	0.66	0.456	89	121	122	106	106	125
ris_low		chr19:SMARCA4:s:11041560|19:11041560-11058254:+	SMARCA4	chr19:SMARCA4:s:11041560	s	11041560	19:11041560-11058254:+	19	11041560	11058254	+	344.3	0.678		0.749	0.071	0.041		welch	0.6219196011830119	0.9646329354635802	0	0	0.575	0.735	0.728	0.757	0.61	0.795	379	347	390	424	146	380
ris_low		chr11:MRPL48:t:73825707|11:73805079-73825707:+	MRPL48	chr11:MRPL48:t:73825707	t	73825707	11:73805079-73825707:+	11	73805079	73825707	+	105.3	0.047		0.118	0.071			welch	0.5546607332692538	0.9646329354635802	0	0	0.0	0.0	0.124	0.204	0.0	0.063	105	145	153	98	20	111
ris_low		chr3:ALG3:s:184244600|3:184243630-184244600:-	ALG3	chr3:ALG3:s:184244600	s	184244600	3:184243630-184244600:-	3	184243630	184244600	-	117.3	0.097		0.167	0.071	-0.003		welch	0.6690982858774376	0.9693309269035708	0	0	0.09	0.087	0.135	0.378	0.0	0.102	212	149	74	74	29	166
ris_low		chrX:UPF3B:s:119841075|X:119838527-119841075:-	UPF3B	chrX:UPF3B:s:119841075	s	119841075	X:119838527-119841075:-	X	119838527	119841075	-	110.8	0.85		0.919	0.07	0.048		welch	0.6490047861811044	0.9646329354635802	0	0	0.778	0.862	0.899	0.978	0.75	0.929	81	123	89	134	56	182
ris_low		chr17:ARHGDIA:t:81869957|17:81869957-81871297:-	ARHGDIA	chr17:ARHGDIA:t:81869957	t	81869957	17:81869957-81871297:-	17	81869957	81871297	-	189.5	0.645		0.715	0.07	-0.05		welch	0.28413491944579466	0.9646329354635802	0	0	0.612	0.646	0.669	0.61	0.802	0.772	183	175	242	213	131	193
ris_low		chr16:RHOT2:s:668411|16:668411-668655:+	RHOT2	chr16:RHOT2:s:668411	s	668411	16:668411-668655:+	16	668411	668655	+	124.8	0.094		0.163	0.069	0.086		welch	0.2696159857284695	0.9646329354635802	0	0	0.021	0.099	0.122	0.078	0.15	0.263	97	141	229	103	80	99
ris_low		chr19:RAD23A:s:12949159|19:12949159-12949274:+	RAD23A	chr19:RAD23A:s:12949159	s	12949159	19:12949159-12949274:+	19	12949159	12949274	+	166.5	0.601		0.67	0.069	0.095		welch	0.4957794243032341	0.9646329354635802	0	0	0.392	0.686	0.595	0.729	0.491	0.714	79	210	237	192	106	175
ris_low		chrX:MECP2:t:154032557|X:154032557-154092183:-	MECP2	chrX:MECP2:t:154032557	t	154032557	X:154032557-154092183:-	X	154032557	154092183	-	165.0	0.482		0.551	0.069	0.113		welch	0.4094193639604415	0.9646329354635802	0	0	0.383	0.639	0.395	0.522	0.608	0.549	115	183	200	186	102	204
ris_low		chr17:UBB:t:16381901|17:16381184-16381901:+	UBB	chr17:UBB:t:16381901	t	16381901	17:16381184-16381901:+	17	16381184	16381901	+	400.3	0.855		0.922	0.068	0.085		welch	0.44737170400234144	0.9646329354635802	0	0	0.8	0.955	0.808	0.933	0.828	0.969	520	513	494	315	209	351
ris_low		chr7:POLR2J:t:102474535|7:102474535-102478807:-	POLR2J	chr7:POLR2J:t:102474535	t	102474535	7:102474535-102478807:-	7	102474535	102478807	-	129.5	0.044		0.113	0.068	0.044		welch	0.4495311262414496	0.9646329354635802	0	0	0.1	0.021	0.042	0.054	0.4	0.039	90	195	120	147	70	155
ris_low		chr5:SRA1:s:140557146|5:140552184-140557146:-	SRA1	chr5:SRA1:s:140557146	s	140557146	5:140552184-140557146:-	5	140552184	140557146	-	108.0	0.801		0.866	0.066	0.054		welch	0.6910638243840334	0.9729937671749059	0	0	0.892	0.851	0.729	0.707	0.927	0.959	74	101	166	99	110	98
ris_low		chr14:BRF1:s:105221647|14:105220127-105221647:-	BRF1	chr14:BRF1:s:105221647	s	105221647	14:105220127-105221647:-	14	105220127	105221647	-	105.2	0.141		0.206	0.065	0.061		welch	0.41992800746668185	0.9646329354635802	0	0	0.081	0.154	0.179	0.103	0.377	0.183	99	143	112	107	77	93
ris_low		chr22:C22orf39:s:19447377|22:19441694-19447377:-	C22orf39	chr22:C22orf39:s:19447377	s	19447377	22:19441694-19447377:-	22	19441694	19447377	-	109.8	0.902		0.967	0.065			welch	0.5732282622303622	0.9646329354635802	0	0	1.0	0.961	0.797	1.0	0.892	1.0	83	127	148	95	93	113
ris_low		chr10:STK32C:t:132330485|10:132330485-132331481:-	STK32C	chr10:STK32C:t:132330485	t	132330485	10:132330485-132331481:-	10	132330485	132331481	-	163.0	0.212		0.277	0.065	0.074		welch	0.37411186892851983	0.9646329354635802	0	0	0.215	0.236	0.186	0.266	0.458	0.187	158	182	194	139	107	198
ris_low		chr19:LSM14A:s:34209051|19:34209051-34215123:+	LSM14A	chr19:LSM14A:s:34209051	s	34209051	19:34209051-34215123:+	19	34209051	34215123	+	132.5	0.599		0.662	0.064	-0.02		welch	0.41077462629167105	0.9646329354635802	0	0	0.492	0.728	0.509	0.544	0.721	0.734	130	180	106	136	104	139
ris_low		chr19:DMKN:s:35505717|19:35503447-35505717:-	DMKN	chr19:DMKN:s:35505717	s	35505717	19:35503447-35505717:-	19	35503447	35505717	-	201.8	0.663		0.727	0.064	0.098		welch	0.52698266448097	0.9646329354635802	0	0	0.642	0.77	0.593	0.597	0.822	0.765	226	244	305	139	118	179
ris_low		chr3:TRA2B:s:185937824|3:185931852-185937824:-	TRA2B	chr3:TRA2B:s:185937824	s	185937824	3:185931852-185937824:-	3	185931852	185937824	-	162.0	0.384		0.448	0.064	0.03		welch	0.3968083511968702	0.9646329354635802	0	0	0.307	0.396	0.415	0.44	0.337	0.534	114	285	176	175	89	133
ris_low		chrX:MECP2:s:154097603|X:154092307-154097603:-	MECP2	chrX:MECP2:s:154097603	s	154097603	X:154092307-154097603:-	X	154092307	154097603	-	146.8	0.484		0.547	0.063	0.081		welch	0.4644771104972165	0.9646329354635802	0	0	0.454	0.627	0.366	0.469	0.644	0.56	130	161	164	145	90	191
ris_low		chr19:DMKN:t:35505986|19:35505986-35509910:-	DMKN	chr19:DMKN:t:35505986	t	35505986	19:35505986-35509910:-	19	35505986	35509910	-	284.7	0.187		0.25	0.063	0.023		welch	0.5726115391704946	0.9646329354635802	0	0	0.251	0.274	0.062	0.194	0.201	0.347	287	380	406	191	219	225
ris_low		chr17:CEP131:s:81193925|17:81192843-81193925:-	CEP131	chr17:CEP131:s:81193925	s	81193925	17:81192843-81193925:-	17	81192843	81193925	-	170.2	0.722		0.786	0.063	0.093		welch	0.7065157593393652	0.9760641995173178	0	0	0.644	0.851	0.66	0.776	0.6	0.918	180	181	147	254	100	159
ris_low		chr19:ISOC2:t:55455330|19:55455330-55456348:-	ISOC2	chr19:ISOC2:t:55455330	t	55455330	19:55455330-55456348:-	19	55455330	55456348	-	118.5	0.264		0.327	0.063	0.018		welch	0.796941512533186	0.9791561399089092	0	0	0.405	0.266	0.203	0.419	0.222	0.302	79	109	187	129	81	126
ris_low		chr8:SNHG6:t:66922392|8:66922392-66922613:-	SNHG6	chr8:SNHG6:t:66922392	t	66922392	8:66922392-66922613:-	8	66922392	66922613	-	151.7	0.448		0.511	0.063	0.029		welch	0.9750668759546338	0.9843311693128727	0	0	0.6	0.452	0.319	0.561	0.25	0.574	115	230	144	155	76	190
ris_low		chr19:VASP:s:45522581|19:45522581-45522717:+	VASP	chr19:VASP:s:45522581	s	45522581	19:45522581-45522717:+	19	45522581	45522717	+	178.7	0.818		0.88	0.062	0.013		welch	0.2839643661412932	0.9646329354635802	0	0	0.717	0.865	0.824	0.832	0.836	1.0	127	251	210	191	159	134
ris_low		chr1:FAAP20:s:2193638|1:2189781-2193638:-	FAAP20	chr1:FAAP20:s:2193638	s	2193638	1:2189781-2193638:-	1	2189781	2193638	-	132.7	0.752		0.813	0.061	0.009		welch	0.6126159890781888	0.9646329354635802	0	0	0.8	0.716	0.778	0.861	0.873	0.677	55	204	189	115	134	99
ris_low		chr16:RHOT2:t:668655|16:668411-668655:+	RHOT2	chr16:RHOT2:t:668655	t	668655	16:668411-668655:+	16	668411	668655	+	129.7	0.092		0.153	0.061	0.074		welch	0.330636437779228	0.9646329354635802	0	0	0.022	0.105	0.111	0.063	0.141	0.292	93	133	252	126	85	89
ris_low		chr6:TMEM14B:s:10749698|6:10749698-10751132:+	TMEM14B	chr6:TMEM14B:s:10749698	s	10749698	6:10749698-10751132:+	6	10749698	10751132	+	101.3	0.872		0.932	0.06	0.011		welch	0.5999560276331254	0.9646329354635802	0	0	0.916	0.961	0.769	1.0	0.855	0.914	95	103	130	111	76	93
ris_low		chr7:GGCT:t:30498938|7:30498938-30500535:-	GGCT	chr7:GGCT:t:30498938	t	30498938	7:30498938-30500535:-	7	30498938	30500535	-	104.8	0.256		0.315	0.059	0.116		welch	0.528109097612765	0.9646329354635802	0	0	0.324	0.225	0.222	0.271	0.215	0.456	139	111	176	70	65	68
ris_low		chr11:AAMDC:t:77842478|11:77821241-77842478:+	AAMDC	chr11:AAMDC:t:77842478	t	77842478	11:77821241-77842478:+	11	77821241	77842478	+	114.8	0.794		0.852	0.058	-0.019		welch	0.36971644419842004	0.9646329354635802	0	0	0.673	0.878	0.8	0.837	0.823	0.899	101	131	180	92	96	89
ris_low		chr7:GIGYF1:t:100681771|7:100681771-100681863:-	GIGYF1	chr7:GIGYF1:t:100681771	t	100681771	7:100681771-100681863:-	7	100681771	100681863	-	102.7	0.853		0.911	0.058	0.04		welch	0.4067578249110333	0.9646329354635802	0	0	0.868	0.691	0.914	0.937	0.809	0.962	114	81	186	63	68	104
ris_low		chr8:PUF60:s:143829279|8:143824399-143829279:-	PUF60	chr8:PUF60:s:143829279	s	143829279	8:143824399-143829279:-	8	143824399	143829279	-	212.0	0.654		0.71	0.057	0.044		welch	0.6709429044001192	0.9693309269035708	0	0	0.806	0.638	0.574	0.626	0.777	0.729	170	326	258	171	166	181
ris_low		chr1:FAAP20:t:2189781|1:2189781-2192844:-	FAAP20	chr1:FAAP20:t:2189781	t	2189781	1:2189781-2192844:-	1	2189781	2192844	-	119.5	0.108		0.165	0.057	0.051		welch	0.8791210059166541	0.9791561399089092	0	0	0.29	0.12	0.02	0.0	0.133	0.362	62	166	150	99	135	105
ris_low		chr16:INO80E:t:30005220|16:30001040-30005220:+	INO80E	chr16:INO80E:t:30005220	t	30005220	16:30001040-30005220:+	16	30001040	30005220	+	190.0	0.316		0.374	0.057	0.031		welch	0.7868858845220726	0.9791561399089092	0	0	0.534	0.246	0.278	0.327	0.58	0.266	116	195	299	162	150	218
ris_low		chr10:CUTC:t:99736245|10:99732356-99736245:+	CUTC	chr10:CUTC:t:99736245	t	99736245	10:99732356-99736245:+	10	99732356	99736245	+	102.0	0.067		0.122	0.056	0.009		welch	0.6283218235869493	0.9646329354635802	0	0	0.036	0.065	0.089	0.071	0.0	0.244	83	169	123	99	48	90
ris_low		chr12:C12orf57:t:6945770|12:6944652-6945770:+	C12orf57	chr12:C12orf57:t:6945770	t	6945770	12:6944652-6945770:+	12	6944652	6945770	+	103.3	0.718		0.774	0.056	0.034		welch	0.5485066401960956	0.9646329354635802	0	0	0.793	0.69	0.686	0.682	0.739	0.898	92	113	118	88	111	98
ris_low		chr9:SIGMAR1:t:34635858|9:34635858-34637219:-	SIGMAR1	chr9:SIGMAR1:t:34635858	t	34635858	9:34635858-34637219:-	9	34635858	34637219	-	145.7	0.074		0.127	0.053	0.038		welch	0.40796216098439136	0.9646329354635802	0	0	0.056	0.124	0.037	0.039	0.255	0.123	124	169	164	152	110	155
ris_low		chr5:HNRNPH1:s:179617513|5:179616958-179617513:-	HNRNPH1	chr5:HNRNPH1:s:179617513	s	179617513	5:179616958-179617513:-	5	179616958	179617513	-	180.8	0.042		0.092	0.05	0.032		welch	0.35218365223511017	0.9646329354635802	0	0	0.016	0.02	0.075	0.12	0.218	0.0	125	255	268	175	87	175
ris_low		chr6:CUTA:t:33417695|6:33417695-33417958:-	CUTA	chr6:CUTA:t:33417695	t	33417695	6:33417695-33417958:-	6	33417695	33417958	-	125.0	0.452		0.502	0.05	0.036		welch	0.5857041052303349	0.9646329354635802	0	0	0.515	0.461	0.411	0.381	0.685	0.496	101	152	192	105	73	127
ris_low		chr17:NT5C:t:75130867|17:75130867-75131044:-	NT5C	chr17:NT5C:t:75130867	t	75130867	17:75130867-75131044:-	17	75130867	75131044	-	193.2	0.777		0.827	0.05	0.062		welch	0.8016666102616139	0.9791561399089092	0	0	0.844	0.643	0.805	0.875	0.621	0.881	186	157	302	184	103	227
ris_low		chr19:ILF3:t:10670515|19:10654487-10670515:+	ILF3	chr19:ILF3:t:10670515	t	10670515	19:10654487-10670515:+	19	10654487	10670515	+	118.5	0.913		0.963	0.049			welch	0.3170041292852761	0.9646329354635802	0	0	0.795	0.881	1.0	0.975	1.0	0.936	73	176	167	81	74	140
ris_low		chr22:PES1:s:30581011|22:30580701-30581011:-	PES1	chr22:PES1:s:30581011	s	30581011	22:30580701-30581011:-	22	30580701	30581011	-	110.8	0.866		0.914	0.048	0.014		welch	0.5792533920507732	0.9646329354635802	0	0	0.83	1.0	0.818	0.937	1.0	0.845	135	97	165	95	63	110
ris_low		chr17:ANAPC11:t:81893551|17:81891863-81893551:+	ANAPC11	chr17:ANAPC11:t:81893551	t	81893551	17:81891863-81893551:+	17	81891863	81893551	+	143.3	0.124		0.171	0.047	0.046		welch	0.6281122494611276	0.9646329354635802	0	0	0.173	0.133	0.092	0.056	0.287	0.172	98	181	206	125	122	128
ris_low		chr2:MFF:s:227325427|2:227325427-227328677:+	MFF	chr2:MFF:s:227325427	s	227325427	2:227325427-227328677:+	2	227325427	227328677	+	130.5	0.707		0.754	0.047	0.07		welch	0.7133331323535351	0.9760641995173178	0	0	0.87	0.641	0.678	0.718	0.738	0.828	100	167	174	142	107	93
ris_low		chr16:TNRC6A:s:24729846|16:24729846-24750725:+	TNRC6A	chr16:TNRC6A:s:24729846	s	24729846	16:24729846-24750725:+	16	24729846	24750725	+	118.3	0.208		0.254	0.046	0.025		welch	0.6062204052580873	0.9646329354635802	0	0	0.337	0.156	0.15	0.224	0.373	0.187	92	96	120	134	118	150
ris_low		chr19:CIRBP:s:1269410|19:1269410-1270866:+	CIRBP	chr19:CIRBP:s:1269410	s	1269410	19:1269410-1270866:+	19	1269410	1270866	+	186.5	0.055		0.102	0.046	0.051		welch	0.5201185561188367	0.9646329354635802	0	0	0.012	0.069	0.074	0.029	0.262	0.042	171	202	244	209	149	144
ris_low		chr19:UBA52:t:18573292|19:18571887-18573292:+	UBA52	chr19:UBA52:t:18573292	t	18573292	19:18571887-18573292:+	19	18571887	18573292	+	171.8	0.398		0.444	0.046	0.073		welch	0.7067519719712019	0.9760641995173178	0	0	0.392	0.361	0.431	0.418	0.303	0.562	153	208	262	98	132	178
ris_low		chr19:TCF3:s:1615685|19:1612433-1615685:-	TCF3	chr19:TCF3:s:1615685	s	1615685	19:1612433-1615685:-	19	1612433	1615685	-	188.0	0.442		0.487	0.045	0.085		welch	0.5128122968016443	0.9646329354635802	0	0	0.279	0.55	0.446	0.506	0.508	0.451	179	258	233	170	126	162
ris_low		chr21:NDUFV3:t:42908863|21:42897047-42908863:+	NDUFV3	chr21:NDUFV3:t:42908863	t	42908863	21:42897047-42908863:+	21	42897047	42908863	+	183.5	0.677		0.722	0.045	-0.015		welch	0.5721101170795984	0.9646329354635802	0	0	0.745	0.612	0.688	0.615	0.836	0.734	165	214	247	143	110	222
ris_low		chr6:BAG6:t:31639226|6:31639226-31640198:-	BAG6	chr6:BAG6:t:31639226	t	31639226	6:31639226-31640198:-	6	31639226	31640198	-	245.2	0.416		0.461	0.045	-0.012		welch	0.6269907043706759	0.9646329354635802	0	0	0.33	0.452	0.437	0.298	0.549	0.513	203	321	286	191	193	277
ris_low		chr17:UBTF:s:44212818|17:44212006-44212818:-	UBTF	chr17:UBTF:s:44212818	s	44212818	17:44212006-44212818:-	17	44212006	44212818	-	149.3	0.234		0.276	0.043	-0.004		welch	0.380155339226561	0.9646329354635802	0	0	0.11	0.316	0.23	0.277	0.373	0.226	136	212	161	166	75	146
ris_low		chr17:AARSD1:t:42951894|17:42951894-42954875:-	AARSD1	chr17:AARSD1:t:42951894	t	42951894	17:42951894-42954875:-	17	42951894	42954875	-	138.2	0.149		0.192	0.043	0.035		welch	0.5681596022656257	0.9646329354635802	0	0	0.091	0.148	0.2	0.315	0.197	0.074	143	115	165	165	66	175
ris_low		chr17:CENPX:t:82019381|17:82019381-82019857:-	CENPX	chr17:CENPX:t:82019381	t	82019381	17:82019381-82019857:-	17	82019381	82019857	-	179.2	0.647		0.689	0.042	-0.037		welch	0.5511273839858147	0.9646329354635802	0	0	0.588	0.638	0.688	0.796	0.7	0.566	114	210	205	181	190	175
ris_low		chr19:ERCC1:t:45413745|19:45413745-45414860:-	ERCC1	chr19:ERCC1:t:45413745	t	45413745	19:45413745-45414860:-	19	45413745	45414860	-	148.2	0.295		0.337	0.042	0.061		welch	0.749956324536059	0.9791561399089092	0	0	0.264	0.158	0.434	0.423	0.274	0.26	87	158	175	213	106	150
ris_low		chr16:INO80E:s:30001040|16:30001040-30005220:+	INO80E	chr16:INO80E:s:30001040	s	30001040	16:30001040-30005220:+	16	30001040	30005220	+	137.2	0.455		0.496	0.041	-0.006		welch	0.6943193453167426	0.9729937671749059	0	0	0.517	0.306	0.565	0.51	0.719	0.333	120	157	147	104	121	174
ris_low		chr6:HMGA1:t:34240736|6:34237317-34240736:+	HMGA1	chr6:HMGA1:t:34240736	t	34240736	6:34237317-34240736:+	6	34237317	34240736	+	134.5	0.774		0.815	0.041	0.029		welch	0.6915504743042464	0.9729937671749059	0	0	0.659	0.905	0.766	0.776	0.702	1.0	91	95	248	143	124	106
ris_low		chr7:CYREN:t:135169060|7:135169060-135170651:-	CYREN	chr7:CYREN:t:135169060	t	135169060	7:135169060-135170651:-	7	135169060	135170651	-	104.2	0.22		0.261	0.041	0.036		welch	0.6959767181674621	0.9729937671749059	0	0	0.144	0.267	0.242	0.41	0.182	0.173	118	120	157	83	66	81
ris_low		chr17:NT5C:s:75131180|17:75131105-75131180:-	NT5C	chr17:NT5C:s:75131180	s	75131180	17:75131105-75131180:-	17	75131105	75131180	-	151.0	0.826		0.867	0.041	0.022		welch	0.9249385978540742	0.9813826720465214	0	0	0.944	0.775	0.782	0.852	0.685	0.936	142	142	216	115	73	218
ris_low		chr5:TCOF1:t:150391956|5:150390023-150391956:+	TCOF1	chr5:TCOF1:t:150391956	t	150391956	5:150390023-150391956:+	5	150390023	150391956	+	167.3	0.423		0.464	0.04	0.015		welch	0.6736686415179778	0.9693309269035708	0	0	0.5	0.502	0.31	0.426	0.534	0.452	146	203	239	176	116	124
ris_low		chr19:ERCC1:s:45414860|19:45413745-45414860:-	ERCC1	chr19:ERCC1:s:45414860	s	45414860	19:45413745-45414860:-	19	45413745	45414860	-	116.5	0.383		0.421	0.039	0.033		welch	0.8548564757098193	0.9791561399089092	0	0	0.383	0.207	0.531	0.529	0.312	0.348	60	121	143	170	93	112
ris_low		chr17:BIRC5:t:78216663|17:78216034-78216663:+	BIRC5	chr17:BIRC5:t:78216663	t	78216663	17:78216034-78216663:+	17	78216034	78216663	+	102.2	0.122		0.161	0.039	0.047		welch	0.898714429802635	0.9791561399089092	0	0	0.2	0.101	0.094	0.313	0.0	0.123	80	109	138	99	65	122
ris_low		chr19:RANBP3:t:5928087|19:5928087-5931418:-	RANBP3	chr19:RANBP3:t:5928087	t	5928087	19:5928087-5931418:-	19	5928087	5931418	-	133.7	0.487		0.524	0.038	-0.006		welch	0.6050499562170126	0.9646329354635802	0	0	0.462	0.378	0.602	0.635	0.441	0.512	93	196	206	85	93	129
ris_low		chr14:BCL2L2-PABPN1:s:23308199|14:23308199-23308815:+	BCL2L2-PABPN1	chr14:BCL2L2-PABPN1:s:23308199	s	23308199	14:23308199-23308815:+	14	23308199	23308815	+	106.7	0.293		0.331	0.038	0.029		welch	0.8642462378039252	0.9791561399089092	0	0	0.402	0.306	0.19	0.453	0.31	0.19	87	98	105	150	84	116
ris_low		chr16:KARS1:s:75647577|16:75644462-75647577:-	KARS1	chr16:KARS1:s:75647577	s	75647577	16:75644462-75647577:-	16	75644462	75647577	-	101.8	0.126		0.163	0.037	0.062		welch	0.830789641733508	0.9791561399089092	0	0	0.153	0.098	0.155	0.273	0.0	0.073	85	184	103	121	36	82
ris_low		chr8:PUF60:t:143821913|8:143821913-143824312:-	PUF60	chr8:PUF60:t:143821913	t	143821913	8:143821913-143824312:-	8	143821913	143824312	-	205.5	0.762		0.799	0.037	0.057		welch	0.876534830417541	0.9791561399089092	0	0	0.886	0.778	0.674	0.667	0.869	0.847	140	338	258	150	145	202
ris_low		chr7:TAF6:t:100112917|7:100112917-100113348:-	TAF6	chr7:TAF6:t:100112917	t	100112917	7:100112917-100113348:-	7	100112917	100113348	-	120.3	0.905		0.942	0.037	-0.017		welch	0.9615553288234576	0.9843311693128727	0	0	0.913	0.992	0.832	0.984	0.791	0.952	115	130	167	122	43	145
ris_low		chr5:TCOF1:s:150392176|5:150392176-150392707:+	TCOF1	chr5:TCOF1:s:150392176	s	150392176	5:150392176-150392707:+	5	150392176	150392707	+	141.5	0.303		0.339	0.035	0.046		welch	0.5831576469695773	0.9646329354635802	0	0	0.276	0.396	0.226	0.429	0.314	0.277	98	159	155	161	70	206
ris_low		chr19:RUVBL2:t:48999318|19:48993923-48999318:+	RUVBL2	chr19:RUVBL2:t:48999318	t	48999318	19:48993923-48999318:+	19	48993923	48999318	+	109.7	0.862		0.897	0.035	0.024		welch	0.8369696086715527	0.9791561399089092	0	0	0.871	0.9	0.837	0.747	0.95	0.961	93	100	184	79	100	102
ris_low		chrX:FMR1:s:147943326|X:147943326-147944868:+	FMR1	chrX:FMR1:s:147943326	s	147943326	X:147943326-147944868:+	X	147943326	147944868	+	222.0	0.628		0.662	0.034	0.024		welch	0.6165984745298335	0.9646329354635802	0	0	0.721	0.686	0.388	0.589	0.667	0.733	452	258	237	158	66	161
ris_low		chr16:SH2B1:t:28873169|16:28872758-28873169:+	SH2B1	chr16:SH2B1:t:28873169	t	28873169	16:28872758-28873169:+	16	28872758	28873169	+	162.2	0.242		0.276	0.034	0.03		welch	0.5547208499887766	0.9646329354635802	0	0	0.311	0.264	0.165	0.31	0.38	0.188	167	129	188	184	108	197
ris_low		chr19:TCF3:t:1611849|19:1611849-1612206:-	TCF3	chr19:TCF3:t:1611849	t	1611849	19:1611849-1612206:-	19	1611849	1612206	-	243.0	0.501		0.534	0.034	0.006		welch	0.46099213100692865	0.9646329354635802	0	0	0.437	0.443	0.586	0.442	0.649	0.566	215	203	295	328	205	212
ris_low		chr15:SNAPC5:t:66494552|15:66494552-66495329:-	SNAPC5	chr15:SNAPC5:t:66494552	t	66494552	15:66494552-66495329:-	15	66494552	66495329	-	132.8	0.576		0.61	0.034	0.021		welch	0.9001008867100299	0.9791561399089092	0	0	0.626	0.516	0.598	0.62	0.377	0.795	187	215	164	79	69	83
ris_low		chr22:SMARCB1:t:23793558|22:23791867-23793558:+	SMARCB1	chr22:SMARCB1:t:23793558	t	23793558	22:23791867-23793558:+	22	23791867	23793558	+	111.5	0.526		0.559	0.033	0.02		welch	0.49069472454065644	0.9646329354635802	0	0	0.429	0.668	0.383	0.703	0.579	0.457	140	190	94	64	76	105
ris_low		chr7:HOTAIRM1:s:27096388|7:27096388-27099778:+	HOTAIRM1	chr7:HOTAIRM1:s:27096388	s	27096388	7:27096388-27099778:+	7	27096388	27099778	+	156.3	0.059		0.092	0.032	0.026		welch	0.7436626111341851	0.9791561399089092	0	0	0.159	0.045	0.022	0.049	0.222	0.033	107	264	185	122	108	152
ris_low		chr19:ELAVL1:t:7963807|19:7963807-7967564:-	ELAVL1	chr19:ELAVL1:t:7963807	t	7963807	19:7963807-7967564:-	19	7963807	7967564	-	109.3	0.798		0.829	0.031	0.052		welch	0.7881250914738731	0.9791561399089092	0	0	0.689	0.827	0.853	0.667	0.869	0.914	103	104	150	84	99	116
ris_low		chr19:PRMT1:t:49680486|19:49677316-49680486:+	PRMT1	chr19:PRMT1:t:49680486	t	49680486	19:49677316-49680486:+	19	49677316	49680486	+	173.0	0.775		0.806	0.031	0.039		welch	0.9730670965175526	0.9843311693128727	0	0	0.876	0.82	0.655	0.73	0.69	0.942	178	211	232	115	129	173
ris_low		chr1:HNRNPR:s:23344210|1:23338608-23344210:-	HNRNPR	chr1:HNRNPR:s:23344210	s	23344210	1:23338608-23344210:-	1	23338608	23344210	-	127.7	0.658		0.688	0.03	-0.001		welch	0.6456583506364566	0.9646329354635802	0	0	0.797	0.606	0.608	0.68	0.794	0.652	118	160	158	103	63	164
ris_low		chr4:PCGF3:s:731110|4:731110-733671:+	PCGF3	chr4:PCGF3:s:731110	s	731110	4:731110-733671:+	4	731110	733671	+	150.2	0.795		0.825	0.03	0.016		welch	0.6182950619244417	0.9646329354635802	0	0	0.569	0.943	0.746	0.81	0.774	0.867	72	176	201	142	115	195
ris_low		chr7:HOTAIRM1:t:27099778|7:27099366-27099778:+	HOTAIRM1	chr7:HOTAIRM1:t:27099778	t	27099778	7:27099366-27099778:+	7	27099366	27099778	+	149.2	0.808		0.839	0.03	0.009		welch	0.6599217778608876	0.9693309269035708	0	0	0.664	0.862	0.863	0.87	0.754	0.877	122	174	153	154	130	162
ris_low		chr19:PRPF31:s:54115797|19:54115797-54118270:+	PRPF31	chr19:PRPF31:s:54115797	s	54115797	19:54115797-54118270:+	19	54115797	54118270	+	124.8	0.703		0.733	0.03	0.041		welch	0.9490547722614596	0.9813826720465214	0	0	0.882	0.672	0.633	0.819	0.738	0.649	85	131	158	144	80	151
ris_low		chr5:TCOF1:s:150369602|5:150369602-150374616:+	TCOF1	chr5:TCOF1:s:150369602	s	150369602	5:150369602-150374616:+	5	150369602	150374616	+	102.7	0.178		0.208	0.03	0.007		welch	0.9618013224478389	0.9843311693128727	0	0	0.118	0.188	0.223	0.278	0.0	0.237	110	144	112	108	49	93
ris_low		chr1:FLAD1:t:154992712|1:154990257-154992712:+	FLAD1	chr1:FLAD1:t:154992712	t	154992712	1:154990257-154992712:+	1	154990257	154992712	+	113.7	0.055		0.083	0.028	0.009		welch	0.6214574191155843	0.9646329354635802	0	0	0.112	0.022	0.027	0.019	0.226	0.036	134	135	113	105	84	111
