comparison	gene_id	symbol	mean_log2_reference	mean_log2_truseq	deviation_log2	direction	histone_replication_dependent	mrna_length_nt
TruSeq vs BOBseq	ENSG00000148444	COMMD3	2.249	6.073	3.426	over-represented in TruSeq	0	980
TruSeq vs BOBseq	ENSG00000148484	RSU1	3.624	6.112	2.089	over-represented in TruSeq	0	1824
TruSeq vs BOBseq	ENSG00000148672	GLUD1	3.624	7.092	3.07	over-represented in TruSeq	0	2745
TruSeq vs BOBseq	ENSG00000148700	ADD3	2.99	5.686	2.297	over-represented in TruSeq	0	3148
TruSeq vs BOBseq	ENSG00000148730	EIF4EBP2	2.647	5.745	2.7	over-represented in TruSeq	0	7491
TruSeq vs BOBseq	ENSG00000148803	FUOM	7.603	5.525	-2.476	under-represented in TruSeq	0	672
TruSeq vs BOBseq	ENSG00000149089	APIP	2.548	6.484	3.538	over-represented in TruSeq	0	1256
TruSeq vs BOBseq	ENSG00000149100	EIF3M	6.103	9.445	2.944	over-represented in TruSeq	0	885
TruSeq vs BOBseq	ENSG00000149136	SSRP1	11.043	9.154	-2.287	under-represented in TruSeq	0	2385
TruSeq vs BOBseq	ENSG00000149150	SLC43A1	5.78	3.683	-2.496	under-represented in TruSeq	0	2219
TruSeq vs BOBseq	ENSG00000149313	AASDHPPT	4.152	6.712	2.163	over-represented in TruSeq	0	2494
TruSeq vs BOBseq	ENSG00000149499	EML3	5.382	3.773	-2.007	under-represented in TruSeq	0	1257
TruSeq vs BOBseq	ENSG00000149743	TRPT1	7.409	5.086	-2.721	under-represented in TruSeq	0	793
TruSeq vs BOBseq	ENSG00000149932	TMEM219	9.876	6.482	-3.792	under-represented in TruSeq	0	971
TruSeq vs BOBseq	ENSG00000150093	ITGB1	3.337	6.508	2.773	over-represented in TruSeq	0	3300
TruSeq vs BOBseq	ENSG00000150459	SAP18	5.131	7.846	2.316	over-represented in TruSeq	0	840
TruSeq vs BOBseq	ENSG00000151131	NOPCHAP1	6.789	4.96	-2.227	under-represented in TruSeq	0	1970
TruSeq vs BOBseq	ENSG00000151239	TWF1	3.877	6.342	2.067	over-represented in TruSeq	0	1560
TruSeq vs BOBseq	ENSG00000151247	EIF4E	2.842	7.724	4.484	over-represented in TruSeq	0	1040
TruSeq vs BOBseq	ENSG00000151461	UPF2	6.636	4.701	-2.334	under-represented in TruSeq	0	4957
TruSeq vs BOBseq	ENSG00000151465	CDC123	9.977	8.364	-2.011	under-represented in TruSeq	0	1179
TruSeq vs BOBseq	ENSG00000151665	PIGF	2.62	5.387	2.369	over-represented in TruSeq	0	939
TruSeq vs BOBseq	ENSG00000152192	POU4F1	5.22	3.428	-2.19	under-represented in TruSeq	0	4539
TruSeq vs BOBseq	ENSG00000152234	ATP5F1A	6.104	9.404	2.901	over-represented in TruSeq	0	1282
TruSeq vs BOBseq	ENSG00000152240	HAUS1	2.554	6.664	3.712	over-represented in TruSeq	0	1008
TruSeq vs BOBseq	ENSG00000152558	TMEM123	3.222	6.866	3.246	over-represented in TruSeq	0	2324
TruSeq vs BOBseq	ENSG00000152642	GPD1L	2.228	4.631	2.005	over-represented in TruSeq	0	3416
TruSeq vs BOBseq	ENSG00000152904	GGPS1	2.856	6.452	3.198	over-represented in TruSeq	0	1482
TruSeq vs BOBseq	ENSG00000152952	PLOD2	2.805	5.75	2.547	over-represented in TruSeq	0	2941
TruSeq vs BOBseq	ENSG00000153048	CARHSP1	8.284	6.557	-2.126	under-represented in TruSeq	0	1681
TruSeq vs BOBseq	ENSG00000153107	ANAPC1	3.126	5.925	2.401	over-represented in TruSeq	0	5384
TruSeq vs BOBseq	ENSG00000153130	SCOC	3.301	6.57	2.871	over-represented in TruSeq	0	1776
TruSeq vs BOBseq	ENSG00000153140	CETN3	2.404	5.937	3.134	over-represented in TruSeq	0	753
TruSeq vs BOBseq	ENSG00000153147	SMARCA5	3.219	6.154	2.537	over-represented in TruSeq	0	6349
TruSeq vs BOBseq	ENSG00000153201	RANBP2	2.739	5.761	2.623	over-represented in TruSeq	0	8735
TruSeq vs BOBseq	ENSG00000153339	TRAPPC8	2.642	5.73	2.69	over-represented in TruSeq	0	4068
TruSeq vs BOBseq	ENSG00000153443	UBALD1	7.988	6.107	-2.279	under-represented in TruSeq	0	1319
TruSeq vs BOBseq	ENSG00000153485	LYSET	2.746	5.509	2.365	over-represented in TruSeq	0	958
TruSeq vs BOBseq	ENSG00000153560	UBP1	3.703	6.609	2.508	over-represented in TruSeq	0	2667
TruSeq vs BOBseq	ENSG00000153561	RMND5A	2.827	5.575	2.35	over-represented in TruSeq	0	5043
TruSeq vs BOBseq	ENSG00000153827	TRIP12	3.462	6.39	2.53	over-represented in TruSeq	0	3123
TruSeq vs BOBseq	ENSG00000153936	HS2ST1	2.453	5.487	2.636	over-represented in TruSeq	0	4605
TruSeq vs BOBseq	ENSG00000153976	HS3ST3A1	5.638	3.458	-2.578	under-represented in TruSeq	0	1007
TruSeq vs BOBseq	ENSG00000153989	NUS1	3.161	6.476	2.917	over-represented in TruSeq	0	4796
TruSeq vs BOBseq	ENSG00000154102	C16orf74	4.367	2.515	-2.249	under-represented in TruSeq	0	782
TruSeq vs BOBseq	ENSG00000154174	TOMM70	3.355	6.407	2.654	over-represented in TruSeq	0	2045
TruSeq vs BOBseq	ENSG00000154328	NEIL2	4.608	2.871	-2.135	under-represented in TruSeq	0	1484
TruSeq vs BOBseq	ENSG00000154518	ATP5MC3	5.873	9.745	3.474	over-represented in TruSeq	0	919
TruSeq vs BOBseq	ENSG00000154845	PPP4R1	2.515	5.179	2.266	over-represented in TruSeq	0	2221
TruSeq vs BOBseq	ENSG00000155096	AZIN1	2.603	6.554	3.553	over-represented in TruSeq	0	2773
TruSeq vs BOBseq	ENSG00000155097	ATP6V1C1	2.691	5.645	2.556	over-represented in TruSeq	0	3626
TruSeq vs BOBseq	ENSG00000155380	SLC16A1	5.159	8.434	2.877	over-represented in TruSeq	0	3760
TruSeq vs BOBseq	ENSG00000155438	NIFK	5.083	7.558	2.076	over-represented in TruSeq	0	963
TruSeq vs BOBseq	ENSG00000155561	NUP205	3.307	7.364	3.659	over-represented in TruSeq	0	5711
TruSeq vs BOBseq	ENSG00000155755	TMEM237	3.15	5.988	2.44	over-represented in TruSeq	0	2422
TruSeq vs BOBseq	ENSG00000155959	VBP1	4.865	8.227	2.964	over-represented in TruSeq	0	1615
TruSeq vs BOBseq	ENSG00000156110	ADK	3.233	6.092	2.461	over-represented in TruSeq	0	1359
TruSeq vs BOBseq	ENSG00000156162	DPY19L4	1.816	4.624	2.409	over-represented in TruSeq	0	2919
TruSeq vs BOBseq	ENSG00000156261	CCT8	5.587	9.315	3.33	over-represented in TruSeq	0	
TruSeq vs BOBseq	ENSG00000156411	ATP5MJ	6.306	8.885	2.18	over-represented in TruSeq	0	599
TruSeq vs BOBseq	ENSG00000156467	UQCRB	6.433	9.177	2.346	over-represented in TruSeq	0	656
TruSeq vs BOBseq	ENSG00000156504	PABIR2	2.897	6.176	2.881	over-represented in TruSeq	0	2598
TruSeq vs BOBseq	ENSG00000156508	EEF1A1	9.763	13.527	3.366	over-represented in TruSeq	0	1978
TruSeq vs BOBseq	ENSG00000156642	NPTN	3.983	6.742	2.361	over-represented in TruSeq	0	1423
TruSeq vs BOBseq	ENSG00000156831	NSMCE2	3.441	6.061	2.222	over-represented in TruSeq	0	1078
TruSeq vs BOBseq	ENSG00000156858	PRR14	7.976	6.194	-2.18	under-represented in TruSeq	0	1500
TruSeq vs BOBseq	ENSG00000156976	EIF4A2	4.145	7.819	3.276	over-represented in TruSeq	0	1845
TruSeq vs BOBseq	ENSG00000157106	SMG1	2.637	5.161	2.126	over-represented in TruSeq	0	5121
TruSeq vs BOBseq	ENSG00000157778	PSMG3	9.248	7.29	-2.356	under-represented in TruSeq	0	916
TruSeq vs BOBseq	ENSG00000158019	BABAM2	3.11	5.937	2.429	over-represented in TruSeq	0	1625
TruSeq vs BOBseq	ENSG00000158201	ABHD3	2.339	4.961	2.224	over-represented in TruSeq	0	1258
TruSeq vs BOBseq	ENSG00000158290	CUL4B	2.982	6.424	3.045	over-represented in TruSeq	0	2947
TruSeq vs BOBseq	ENSG00000158427	TMSB15B	3.086	5.698	2.214	over-represented in TruSeq	0	704
TruSeq vs BOBseq	ENSG00000158435	CNOT11	3.286	6.475	2.791	over-represented in TruSeq	0	1515
TruSeq vs BOBseq	ENSG00000158552	ZFAND2B	6.682	4.748	-2.331	under-represented in TruSeq	0	1123
TruSeq vs BOBseq	ENSG00000158615	PPP1R15B	2.661	5.216	2.157	over-represented in TruSeq	0	5178
TruSeq vs BOBseq	ENSG00000158806	NPM2	2.637	0.949	-2.087	under-represented in TruSeq	0	635
TruSeq vs BOBseq	ENSG00000158828	PINK1	7.814	5.398	-2.814	under-represented in TruSeq	0	2484
TruSeq vs BOBseq	ENSG00000159063	ALG8	3.791	6.729	2.54	over-represented in TruSeq	0	1589
TruSeq vs BOBseq	ENSG00000159131	GART	4.227	7.838	3.213	over-represented in TruSeq	0	2217
TruSeq vs BOBseq	ENSG00000159147	DONSON	3.136	6.237	2.703	over-represented in TruSeq	0	1717
TruSeq vs BOBseq	ENSG00000159352	PSMD4	11.136	8.842	-2.692	under-represented in TruSeq	0	1265
TruSeq vs BOBseq	ENSG00000159593	NAE1	5.029	7.63	2.203	over-represented in TruSeq	0	1461
TruSeq vs BOBseq	ENSG00000159685	CHCHD6	7.981	5.737	-2.642	under-represented in TruSeq	0	1002
TruSeq vs BOBseq	ENSG00000159713	TPPP3	3.856	2.082	-2.172	under-represented in TruSeq	0	1021
TruSeq vs BOBseq	ENSG00000159753	CARMIL2	7.14	3.728	-3.81	under-represented in TruSeq	0	1550
TruSeq vs BOBseq	ENSG00000159884	CCDC107	7.587	4.158	-3.827	under-represented in TruSeq	0	1090
TruSeq vs BOBseq	ENSG00000160050	CCDC28B	8.49	4.639	-4.249	under-represented in TruSeq	0	963
TruSeq vs BOBseq	ENSG00000160124	MIX23	4.68	7.665	2.587	over-represented in TruSeq	0	601
TruSeq vs BOBseq	ENSG00000160256	SLX9	8.109	6.505	-2.002	under-represented in TruSeq	0	808
TruSeq vs BOBseq	ENSG00000160446	ZDHHC12	7.424	5.043	-2.779	under-represented in TruSeq	0	1129
TruSeq vs BOBseq	ENSG00000160710	ADAR	4.331	6.903	2.174	over-represented in TruSeq	0	4852
TruSeq vs BOBseq	ENSG00000160785	SLC25A44	2.771	5.385	2.217	over-represented in TruSeq	0	3314
TruSeq vs BOBseq	ENSG00000160799	CCDC12	9.754	7.243	-2.909	under-represented in TruSeq	0	774
TruSeq vs BOBseq	ENSG00000160818	GPATCH4	10.219	8.178	-2.439	under-represented in TruSeq	0	1351
TruSeq vs BOBseq	ENSG00000161642	ZNF385A	5.114	3.095	-2.417	under-represented in TruSeq	0	2331
TruSeq vs BOBseq	ENSG00000161800	RACGAP1	2.796	6.827	3.633	over-represented in TruSeq	0	1413
TruSeq vs BOBseq	ENSG00000161888	SPC24	8.295	5.86	-2.834	under-represented in TruSeq	0	816
TruSeq vs BOBseq	ENSG00000161904	LEMD2	7.138	5.409	-2.127	under-represented in TruSeq	0	1540
TruSeq vs BOBseq	ENSG00000161914	ZNF653	5.215	2.998	-2.615	under-represented in TruSeq	0	907
TruSeq vs BOBseq	ENSG00000162076	FLYWCH2	7.575	5.891	-2.082	under-represented in TruSeq	0	907
TruSeq vs BOBseq	ENSG00000162191	UBXN1	10.414	7.586	-3.226	under-represented in TruSeq	0	959
TruSeq vs BOBseq	ENSG00000162222	TTC9C	3.391	5.946	2.157	over-represented in TruSeq	0	848
TruSeq vs BOBseq	ENSG00000162434	JAK1	2.608	5.467	2.461	over-represented in TruSeq	0	3952
TruSeq vs BOBseq	ENSG00000162585	FAAP20	7.462	5.79	-2.07	under-represented in TruSeq	0	1232
TruSeq vs BOBseq	ENSG00000162607	USP1	4.234	7.18	2.549	over-represented in TruSeq	0	3576
TruSeq vs BOBseq	ENSG00000162627	SNX7	2.988	5.586	2.2	over-represented in TruSeq	0	1622
TruSeq vs BOBseq	ENSG00000162923	WDR26	3.414	6.631	2.819	over-represented in TruSeq	0	2483
TruSeq vs BOBseq	ENSG00000162959	MEMO1	2.199	5.893	3.296	over-represented in TruSeq	0	1425
TruSeq vs BOBseq	ENSG00000163006	CCDC138	3.036	5.438	2.004	over-represented in TruSeq	0	2189
TruSeq vs BOBseq	ENSG00000163041	H3-3A	7.964	10.534	2.172	over-represented in TruSeq	0	859
TruSeq vs BOBseq	ENSG00000163214	DHX57	2.564	4.986	2.024	over-represented in TruSeq	0	4409
TruSeq vs BOBseq	ENSG00000163273	NPPC	3.67	2.059	-2.009	under-represented in TruSeq	0	1054
TruSeq vs BOBseq	ENSG00000163344	PMVK	8.081	6.16	-2.318	under-represented in TruSeq	0	1002
TruSeq vs BOBseq	ENSG00000163346	PBXIP1	4.12	2.516	-2.002	under-represented in TruSeq	0	2662
TruSeq vs BOBseq	ENSG00000163507	CIP2A	3.263	5.995	2.334	over-represented in TruSeq	0	3276
TruSeq vs BOBseq	ENSG00000163527	STT3B	2.714	6.776	3.664	over-represented in TruSeq	0	3245
TruSeq vs BOBseq	ENSG00000163541	SUCLG1	4.682	7.268	2.188	over-represented in TruSeq	0	1239
TruSeq vs BOBseq	ENSG00000163607	GTPBP8	3.295	5.901	2.209	over-represented in TruSeq	0	1490
TruSeq vs BOBseq	ENSG00000163608	NEPRO	3.063	5.828	2.367	over-represented in TruSeq	0	1473
TruSeq vs BOBseq	ENSG00000163655	GMPS	2.684	7.198	4.115	over-represented in TruSeq	0	2359
TruSeq vs BOBseq	ENSG00000163681	SLMAP	2.755	5.238	2.085	over-represented in TruSeq	0	3215
TruSeq vs BOBseq	ENSG00000163714	U2SURP	5.265	7.974	2.31	over-represented in TruSeq	0	3239
TruSeq vs BOBseq	ENSG00000163743	RCHY1	3.81	6.428	2.22	over-represented in TruSeq	0	1551
TruSeq vs BOBseq	ENSG00000163754	GYG1	2.454	5.897	3.045	over-represented in TruSeq	0	1830
TruSeq vs BOBseq	ENSG00000163781	TOPBP1	2.748	5.897	2.751	over-represented in TruSeq	0	4912
TruSeq vs BOBseq	ENSG00000163785	RYK	2.757	5.504	2.349	over-represented in TruSeq	0	2248
TruSeq vs BOBseq	ENSG00000163807	KIAA1143	2.683	5.664	2.583	over-represented in TruSeq	0	
TruSeq vs BOBseq	ENSG00000163884	KLF15	4.064	2.059	-2.404	under-represented in TruSeq	0	649
TruSeq vs BOBseq	ENSG00000163918	RFC4	4.73	7.194	2.066	over-represented in TruSeq	0	1005
TruSeq vs BOBseq	ENSG00000163938	GNL3	6.004	8.912	2.511	over-represented in TruSeq	0	1573
TruSeq vs BOBseq	ENSG00000164008	C1orf50	5.582	3.363	-2.616	under-represented in TruSeq	0	1393
TruSeq vs BOBseq	ENSG00000164032	H2AZ1	8.532	11.152	2.222	over-represented in TruSeq	0	858
TruSeq vs BOBseq	ENSG00000164070	HSPA4L	2.994	5.521	2.129	over-represented in TruSeq	0	4591
TruSeq vs BOBseq	ENSG00000164109	MAD2L1	5.446	7.978	2.134	over-represented in TruSeq	0	1806
TruSeq vs BOBseq	ENSG00000164134	NAA15	4.306	6.894	2.19	over-represented in TruSeq	0	3534
TruSeq vs BOBseq	ENSG00000164163	ABCE1	3.41	7.845	4.037	over-represented in TruSeq	0	1664
TruSeq vs BOBseq	ENSG00000164329	TENT2	2.382	5.114	2.334	over-represented in TruSeq	0	2148
TruSeq vs BOBseq	ENSG00000164332	UBLCP1	2.851	5.708	2.459	over-represented in TruSeq	0	2131
TruSeq vs BOBseq	ENSG00000164347	GFM2	3.134	5.535	2.003	over-represented in TruSeq	0	2614
TruSeq vs BOBseq	ENSG00000164466	SFXN1	5.697	8.095	2.0	over-represented in TruSeq	0	2051
TruSeq vs BOBseq	ENSG00000164576	SAP30L	7.151	4.825	-2.724	under-represented in TruSeq	0	1255
TruSeq vs BOBseq	ENSG00000164707	SLC13A4	3.993	2.215	-2.176	under-represented in TruSeq	0	1743
TruSeq vs BOBseq	ENSG00000164815	ORC5	3.278	5.936	2.26	over-represented in TruSeq	0	1910
TruSeq vs BOBseq	ENSG00000164853	UNCX	4.546	2.743	-2.202	under-represented in TruSeq	0	2091
TruSeq vs BOBseq	ENSG00000164924	YWHAZ	6.637	9.743	2.708	over-represented in TruSeq	0	1783
TruSeq vs BOBseq	ENSG00000164933	SLC25A32	2.685	5.489	2.406	over-represented in TruSeq	0	2299
TruSeq vs BOBseq	ENSG00000164934	DCAF13	2.955	6.883	3.53	over-represented in TruSeq	0	1833
TruSeq vs BOBseq	ENSG00000164941	INTS8	3.295	6.523	2.83	over-represented in TruSeq	0	1724
TruSeq vs BOBseq	ENSG00000165119	HNRNPK	8.033	10.498	2.067	over-represented in TruSeq	0	1682
TruSeq vs BOBseq	ENSG00000165209	STRBP	2.924	5.744	2.421	over-represented in TruSeq	0	2824
TruSeq vs BOBseq	ENSG00000165304	MELK	3.665	6.198	2.134	over-represented in TruSeq	0	2236
TruSeq vs BOBseq	ENSG00000165410	CFL2	4.025	6.915	2.492	over-represented in TruSeq	0	1652
TruSeq vs BOBseq	ENSG00000165490	DDIAS	1.893	4.812	2.521	over-represented in TruSeq	0	2771
TruSeq vs BOBseq	ENSG00000165609	NUDT5	4.323	7.451	2.73	over-represented in TruSeq	0	805
TruSeq vs BOBseq	ENSG00000165629	ATP5F1C	6.659	9.223	2.167	over-represented in TruSeq	0	1051
TruSeq vs BOBseq	ENSG00000165672	PRDX3	4.869	9.171	3.904	over-represented in TruSeq	0	1527
TruSeq vs BOBseq	ENSG00000165678	GHITM	5.065	8.139	2.676	over-represented in TruSeq	0	2440
TruSeq vs BOBseq	ENSG00000165704	HPRT1	5.6	8.462	2.464	over-represented in TruSeq	0	1175
TruSeq vs BOBseq	ENSG00000165724	ZMYND19	8.071	6.443	-2.027	under-represented in TruSeq	0	1346
TruSeq vs BOBseq	ENSG00000165752	STK32C	7.12	4.772	-2.746	under-represented in TruSeq	0	960
TruSeq vs BOBseq	ENSG00000165775	FUNDC2	4.034	7.723	3.291	over-represented in TruSeq	0	948
TruSeq vs BOBseq	ENSG00000165804	ZNF219	5.526	3.627	-2.297	under-represented in TruSeq	0	1641
TruSeq vs BOBseq	ENSG00000165912	PACSIN3	7.015	4.873	-2.541	under-represented in TruSeq	0	1496
TruSeq vs BOBseq	ENSG00000165934	CPSF2	3.023	6.087	2.666	over-represented in TruSeq	0	3548
TruSeq vs BOBseq	ENSG00000166037	CEP57	2.89	5.683	2.395	over-represented in TruSeq	0	2267
TruSeq vs BOBseq	ENSG00000166181	API5	5.088	7.516	2.03	over-represented in TruSeq	0	2843
TruSeq vs BOBseq	ENSG00000166226	CCT2	6.029	9.443	3.016	over-represented in TruSeq	0	1821
TruSeq vs BOBseq	ENSG00000166233	ARIH1	3.888	6.333	2.047	over-represented in TruSeq	0	1818
TruSeq vs BOBseq	ENSG00000166451	CENPN	4.006	6.929	2.525	over-represented in TruSeq	0	
TruSeq vs BOBseq	ENSG00000166681	BEX3	11.802	9.827	-2.373	under-represented in TruSeq	0	833
TruSeq vs BOBseq	ENSG00000166710	B2M	5.188	8.716	3.131	over-represented in TruSeq	0	931
TruSeq vs BOBseq	ENSG00000166855	CLPX	3.005	5.794	2.391	over-represented in TruSeq	0	1433
TruSeq vs BOBseq	ENSG00000166889	PATL1	2.636	5.35	2.315	over-represented in TruSeq	0	3997
TruSeq vs BOBseq	ENSG00000166965	RCCD1	7.233	4.814	-2.817	under-represented in TruSeq	0	1781
TruSeq vs BOBseq	ENSG00000166971	AKTIP	2.302	5.031	2.331	over-represented in TruSeq	0	1032
TruSeq vs BOBseq	ENSG00000167004	PDIA3	6.229	8.636	2.009	over-represented in TruSeq	0	1691
TruSeq vs BOBseq	ENSG00000167110	GOLGA2	6.717	5.08	-2.035	under-represented in TruSeq	0	2000
TruSeq vs BOBseq	ENSG00000167186	COQ7	7.563	5.56	-2.401	under-represented in TruSeq	0	1697
TruSeq vs BOBseq	ENSG00000167311	ART5	4.901	2.077	-3.222	under-represented in TruSeq	0	1222
TruSeq vs BOBseq	ENSG00000167325	RRM1	4.679	7.742	2.665	over-represented in TruSeq	0	2760
TruSeq vs BOBseq	ENSG00000167468	GPX4	12.484	9.528	-3.354	under-represented in TruSeq	0	709
TruSeq vs BOBseq	ENSG00000167491	GATAD2A	8.185	6.5	-2.084	under-represented in TruSeq	0	3228
TruSeq vs BOBseq	ENSG00000167635	ZNF146	4.06	7.187	2.729	over-represented in TruSeq	0	2654
TruSeq vs BOBseq	ENSG00000167641	PPP1R14A	7.443	4.328	-3.514	under-represented in TruSeq	0	572
TruSeq vs BOBseq	ENSG00000167674	HDGFL2	9.009	7.037	-2.37	under-represented in TruSeq	0	1810
TruSeq vs BOBseq	ENSG00000167699	GLOD4	5.287	7.724	2.038	over-represented in TruSeq	0	938
TruSeq vs BOBseq	ENSG00000167733	HSD11B1L	5.89	2.315	-3.973	under-represented in TruSeq	0	1334
TruSeq vs BOBseq	ENSG00000167815	PRDX2	11.447	9.76	-2.085	under-represented in TruSeq	0	808
TruSeq vs BOBseq	ENSG00000168010	ATG16L2	4.451	2.195	-2.654	under-represented in TruSeq	0	1825
TruSeq vs BOBseq	ENSG00000168036	CTNNB1	5.99	8.515	2.127	over-represented in TruSeq	0	3090
TruSeq vs BOBseq	ENSG00000168056	LTBP3	5.209	3.328	-2.279	under-represented in TruSeq	0	1650
TruSeq vs BOBseq	ENSG00000168061	SAC3D1	7.978	5.939	-2.437	under-represented in TruSeq	0	1188
TruSeq vs BOBseq	ENSG00000168078	PBK	1.876	5.758	3.484	over-represented in TruSeq	0	1797
TruSeq vs BOBseq	ENSG00000168246	UBTD2	2.941	5.421	2.082	over-represented in TruSeq	0	2988
TruSeq vs BOBseq	ENSG00000168259	DNAJC7	9.582	7.717	-2.263	under-represented in TruSeq	0	1523
TruSeq vs BOBseq	ENSG00000168273	UQCC5	9.635	6.842	-3.191	under-represented in TruSeq	0	491
TruSeq vs BOBseq	ENSG00000168283	BMI1	3.255	6.765	3.112	over-represented in TruSeq	0	2140
TruSeq vs BOBseq	ENSG00000168288	MMADHC	3.621	7.741	3.722	over-represented in TruSeq	0	1403
TruSeq vs BOBseq	ENSG00000168374	ARF4	5.156	7.943	2.39	over-represented in TruSeq	0	1382
TruSeq vs BOBseq	ENSG00000168385	SEPTIN2	5.707	8.791	2.686	over-represented in TruSeq	0	2478
TruSeq vs BOBseq	ENSG00000168411	RFWD3	3.448	6.513	2.667	over-represented in TruSeq	0	1851
TruSeq vs BOBseq	ENSG00000168488	ATXN2L	10.395	6.794	-3.999	under-represented in TruSeq	0	2795
TruSeq vs BOBseq	ENSG00000168495	POLR3D	7.681	5.745	-2.335	under-represented in TruSeq	0	2207
TruSeq vs BOBseq	ENSG00000168517	HEXIM2	4.575	2.709	-2.265	under-represented in TruSeq	0	1348
TruSeq vs BOBseq	ENSG00000168528	SERINC2	5.342	3.668	-2.072	under-represented in TruSeq	0	1922
TruSeq vs BOBseq	ENSG00000168569	TMEM223	7.136	5.231	-2.303	under-represented in TruSeq	0	1236
TruSeq vs BOBseq	ENSG00000168615	ADAM9	3.16	5.596	2.038	over-represented in TruSeq	0	4038
TruSeq vs BOBseq	ENSG00000168827	GFM1	2.788	6.581	3.395	over-represented in TruSeq	0	3097
TruSeq vs BOBseq	ENSG00000168884	TNIP2	6.879	4.898	-2.379	under-represented in TruSeq	0	1471
TruSeq vs BOBseq	ENSG00000169020	ATP5ME	12.696	10.203	-2.891	under-represented in TruSeq	0	303
TruSeq vs BOBseq	ENSG00000169136	ATF5	7.379	5.018	-2.759	under-represented in TruSeq	0	1878
TruSeq vs BOBseq	ENSG00000169139	UBE2V2	3.423	7.692	3.87	over-represented in TruSeq	0	1427
TruSeq vs BOBseq	ENSG00000169169	CPT1C	5.46	3.66	-2.199	under-represented in TruSeq	0	692
TruSeq vs BOBseq	ENSG00000169251	NMD3	2.621	6.327	3.308	over-represented in TruSeq	0	2541
TruSeq vs BOBseq	ENSG00000169446	MMGT1	2.857	6.27	3.015	over-represented in TruSeq	0	2791
TruSeq vs BOBseq	ENSG00000169490	TM2D2	3.289	6.288	2.6	over-represented in TruSeq	0	1351
TruSeq vs BOBseq	ENSG00000169504	CLIC4	2.985	6.276	2.893	over-represented in TruSeq	0	4099
TruSeq vs BOBseq	ENSG00000169515	CCDC8	6.52	3.596	-3.322	under-represented in TruSeq	0	3236
TruSeq vs BOBseq	ENSG00000169599	NFU1	3.124	6.799	3.276	over-represented in TruSeq	0	877
TruSeq vs BOBseq	ENSG00000169627	BOLA2B	10.31	7.22	-3.488	under-represented in TruSeq	0	333
TruSeq vs BOBseq	ENSG00000169679	BUB1	2.894	6.583	3.29	over-represented in TruSeq	0	2405
TruSeq vs BOBseq	ENSG00000169682	SPNS1	8.248	6.333	-2.313	under-represented in TruSeq	0	1769
TruSeq vs BOBseq	ENSG00000169683	LRRC45	6.33	4.645	-2.083	under-represented in TruSeq	0	1794
TruSeq vs BOBseq	ENSG00000169714	CNBP	6.695	9.545	2.453	over-represented in TruSeq	0	1584
TruSeq vs BOBseq	ENSG00000170275	CRTAP	4.611	7.648	2.639	over-represented in TruSeq	0	1849
TruSeq vs BOBseq	ENSG00000170291	ELP5	10.008	7.644	-2.761	under-represented in TruSeq	0	1499
TruSeq vs BOBseq	ENSG00000170296	GABARAP	5.643	8.323	2.282	over-represented in TruSeq	0	645
TruSeq vs BOBseq	ENSG00000170412	GPRC5C	4.541	2.771	-2.167	under-represented in TruSeq	0	
TruSeq vs BOBseq	ENSG00000170855	TRIAP1	4.621	7.311	2.292	over-represented in TruSeq	0	1151
TruSeq vs BOBseq	ENSG00000170860	LSM3	3.939	6.435	2.098	over-represented in TruSeq	0	3359
TruSeq vs BOBseq	ENSG00000170899	GSTA4	3.006	5.708	2.304	over-represented in TruSeq	0	1191
TruSeq vs BOBseq	ENSG00000171004	HS6ST2	2.687	5.531	2.445	over-represented in TruSeq	0	3835
TruSeq vs BOBseq	ENSG00000171067	C11orf24	8.854	5.982	-3.271	under-represented in TruSeq	0	788
TruSeq vs BOBseq	ENSG00000171135	JAGN1	3.434	6.478	2.646	over-represented in TruSeq	0	1439
TruSeq vs BOBseq	ENSG00000171204	TMEM126B	3.512	7.255	3.344	over-represented in TruSeq	0	974
TruSeq vs BOBseq	ENSG00000171453	POLR1C	4.667	7.415	2.35	over-represented in TruSeq	0	1225
TruSeq vs BOBseq	ENSG00000171566	PLRG1	3.756	7.085	2.931	over-represented in TruSeq	0	1321
TruSeq vs BOBseq	ENSG00000171735	CAMTA1	5.215	7.624	2.011	over-represented in TruSeq	0	694
TruSeq vs BOBseq	ENSG00000171792	RHNO1	2.604	5.951	2.948	over-represented in TruSeq	0	1703
TruSeq vs BOBseq	ENSG00000171848	RRM2	5.323	7.731	2.01	over-represented in TruSeq	0	2718
TruSeq vs BOBseq	ENSG00000171953	ATPAF2	7.229	5.266	-2.361	under-represented in TruSeq	0	771
TruSeq vs BOBseq	ENSG00000171960	PPIH	4.764	8.113	2.95	over-represented in TruSeq	0	812
TruSeq vs BOBseq	ENSG00000172037	LAMB2	6.431	4.749	-2.08	under-represented in TruSeq	0	1981
TruSeq vs BOBseq	ENSG00000172239	PAIP1	3.076	6.461	2.987	over-represented in TruSeq	0	1644
TruSeq vs BOBseq	ENSG00000172269	DPAGT1	2.728	5.809	2.684	over-represented in TruSeq	0	1302
TruSeq vs BOBseq	ENSG00000172340	SUCLG2	3.208	5.909	2.304	over-represented in TruSeq	0	1598
TruSeq vs BOBseq	ENSG00000172366	MCRIP2	7.747	5.875	-2.27	under-represented in TruSeq	0	1078
